排名,大学名称,大学英文名称,所在城市,专业中文名称,专业英文名称,所属院系,所属院系（英文）,所属院系网址,学位,专业领域,课程长度,申请费（美元),开学期,截止日期,GPA,托福,雅思,GRE,GMAT,学术背景,材料要求,招生网址,专业网址
35,加州大学圣塔芭芭拉分校,"University of California, Santa Barbara","Santa Barbara, CA",环境数据科学硕士,MASTER OF ENVIRONMENTAL DATA SCIENCE,环境科学与管理学院,Bren School of Environmental Science & Management,https://bren.ucsb.edu,MEDS,,11个月,$155 ,夏季,12月1日,3,80,7,24年最新政策请见招生网址,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.graddiv.ucsb.edu/graduate-programs/departments/environmental-science-management-bren-school,https://bren.ucsb.edu/masters-programs/master-environmental-data-science
35,纽约大学,New York University,"New York, NY",数据科学 - 生物医学信息学方向,Data Science – Biomedical Informatics Track,文理研究生院,Graduate School of Arts & Science,https://gsas.nyu.edu,MS,面向对快速发展的生物医学信息学领域感兴趣的学生，该领域影响了许多近期的医疗保健发展，包括个性化医疗的新机会。,,$130 ,秋季,1月22日,要求,100(首选托福),7,可选,不接受,面向具有强大数学、计算机科学和应用统计学背景的学生,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/masters-in-data-science-tracks/
35,纽约大学,New York University,"New York, NY",社会科学研究应用统计（ASSR-MS）,Applied Statistics for Social Science Research (ASSR-MS),文化，教育和人类发展学院,Steinhardt School of Culture,https://steinhardt.nyu.edu,MS,,,$75 ,秋季,1月15日,要求,100,7,可选,不要求,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://steinhardt.nyu.edu/degree/ms-applied-statistics-social-science-research/how-apply,https://steinhardt.nyu.edu/degree/ms-applied-statistics-social-science-research
35,纽约大学,New York University,"New York, NY",社会科学研究应用统计 (MS) / 公共和非营利管理 (MPA) - 双学位 (ASSD-MS),Applied Statistics for Social Science Research (MS) / Public and Nonprofit Management (MPA) - Dual Degree (ASSD-MS),文化，教育和人类发展学院,Steinhardt School of Culture,https://steinhardt.nyu.edu,MS/MPA,,,$75 ,秋季,1月15日,要求,100,7,可选,不要求,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://steinhardt.nyu.edu/degree/ms-applied-statistics-mpa-public-and-nonprofit-management-and-policy/how-apply,https://steinhardt.nyu.edu/degree/ms-applied-statistics-mpa-public-and-nonprofit-management-and-policy
35,纽约大学,New York University,"New York, NY",统计学和计算社会科学,Statistics and Computational Social Science,文化，教育和人类发展学院,Steinhardt School of Culture,https://steinhardt.nyu.edu,MS,,,$75 ,秋季,12月1日,要求,100,7,虽然该计划通常需要 GRE，但在 2025 年的招生周期中，不需要 GRE 成绩,不要求,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://steinhardt.nyu.edu/degree/phd-statistics-and-computational-social-science/how-apply,https://steinhardt.nyu.edu/degree/phd-statistics-and-computational-social-science
35,威斯康辛大学麦迪逊分校,"University of Wisconsin, Madison","Madison, WI",心理学：人类行为中的数据科学,Psychology：DATA SCIENCE IN HUMAN BEHAVIOR,文理学院,College of Letters & Science,https://ls.wisc.edu/,M.S.,,,$81 ,秋季,3月31日,3,92，80-91可能会被录取，但需要入学后参加英语测试并参加课前语言课程,7.0，6.5可能会被录取，但需要入学后参加英语测试并参加课前语言课程,不要求,不接受,鼓励持有社会科学学士学位和强大的统计和/或行为科学研究背景的学生申请,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://guide.wisc.edu/graduate/psychology/psychology-ms/psychology-data-science-human-behavior-ms/#admissionstext,https://datascience.psych.wisc.edu/
35,威斯康辛大学麦迪逊分校,"University of Wisconsin, Madison","Madison, WI",生物医学数据科学，MS,"Biomedical Data Science, M.S.",医学和公共卫生学院,School of Medicine and Public Health,https://med.wisc.edu,M.S.,让学生深入了解计算和统计方法及其在生物学、医学和公共卫生领域广泛问题中的应用。学生将学习如何开发和部署能够理解大型生物医学数据集的工具，在协作的跨学科环境中工作，并成为始终伴随此类数据的团队科学工作的领导者。,,$81 ,秋季,12月15日,3,92，80-91可能会被录取，但需要入学后参加英语测试并参加课前语言课程,7.0，6.5可能会被录取，但需要入学后参加英语测试并参加课前语言课程,不要求,不接受,潜在的学生包括在数据科学领域（例如，计算机科学、统计学）拥有学士学位的学生，以及卫生专业人员和临床医生（例如，医学博士、药学博士、注册护士）。预计被录取的候选人将展示出计算机科学和数学、基本编程技能、数据结构和算法知识以及至少两个学期的大学微积分的能力。,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://guide.wisc.edu/graduate/biostatistics-medical-informatics/biomedical-data-science-ms/#admissionstext,https://biostat.wiscweb.wisc.edu/education/current-students/ms-bds/
35,威斯康辛大学麦迪逊分校,"University of Wisconsin, Madison","Madison, WI",生物医学数据科学，博士,"Biomedical Data Science, Ph.D.",医学和公共卫生学院,School of Medicine and Public Health,https://med.wisc.edu/,Ph.D.,让学生深入了解计算和统计方法及其在生物学、医学和公共卫生领域广泛问题中的应用。学生将学习如何开发和部署能够理解大型生物医学数据集的工具，在协作的跨学科环境中工作，并成为始终伴随此类数据的团队科学工作的领导者。,,$81 ,秋季,12月15日,3,92，80-91可能会被录取，但需要入学后参加英语测试并参加课前语言课程,7.0，6.5可能会被录取，但需要入学后参加英语测试并参加课前语言课程,不要求,不接受,潜在的学生包括在数据科学领域（例如，计算机科学、统计学）拥有学士学位的学生，以及卫生专业人员和临床医生（例如，医学博士、药学博士、注册护士）。预计被录取的候选人将展示出计算机科学和数学、基本编程技能、数据结构和算法知识以及至少两个学期的大学微积分的能力。,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://guide.wisc.edu/graduate/biostatistics-medical-informatics/biomedical-data-science-phd/#admissionstext,https://biostat.wiscweb.wisc.edu/education/current-students/phd-bds/
35,伊利诺伊大学厄本那-香槟分校,"University of Illinois, Urbana-Champaign","Champaign, IL",预测分析与风险管理硕士,statistics-analytics,文理学院,College of Liberal Arts & Sciences,https://las.illinois.edu,MS,预测分析和风险管理硕士学位课程在社会中非常重要的领域提供了严格、现代和基础的教育。它将培养对数据科学、保险和金融有深入而平衡的知识的毕业生，以熟练地解决预测分析和风险管理的问题。 ,,$70 ,秋季,1 月 26 日; 2 月 23 日;3 月29 日;4 月 26 日 ,3,79，低于103入学需参加EPT考试,6.5，低于7.5入学需参加EPT考试,不要求，但可提交,不要求,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://predictive-analytics.illinois.edu/apply-online/,https://predictive-analytics.illinois.edu/
35,伊利诺伊大学厄本那-香槟分校,"University of Illinois, Urbana-Champaign","Champaign, IL",预测分析与风险管理硕士,statistics-analytics,文理学院,College of Liberal Arts & Sciences,https://las.illinois.edu,MS,预测分析和风险管理硕士学位课程在社会中非常重要的领域提供了严格、现代和基础的教育。它将培养对数据科学、保险和金融有深入而平衡的知识的毕业生，以熟练地解决预测分析和风险管理的问题。 ,,$70 ,春季,10 月 15 日,3,79，低于103入学需参加EPT考试,6.5，低于7.5入学需参加EPT考试,不要求，但可提交,不要求,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://predictive-analytics.illinois.edu/apply-online/,https://predictive-analytics.illinois.edu/
40,华盛顿大学,University of Washington,"Seattle, WA",生物工程（博士）:数据科学选项,Bioengineering (PhD)：Data Science Option,工程学院,Department of Bioengineering,https://bioe.uw.edu,PHD,参加此选项的学生可以期望与基因组科学，统计学，海洋学，计算机科学与工程以及天文学等类似课程的学生进行互动。数据科学选项是威斯康星大学的官方学位选项，它将成为您的学位标题的一部分，并出现在您的成绩单上。,,$90 ,秋季,12月1日,3,92，低于92高于80需参加语言课程,7.0，低于7.0高于6.5需参加语言课程,可选,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-O-BIOEN-00-41,https://bioe.uw.edu/academic-programs/phd/
40,华盛顿大学,University of Washington,"Seattle, WA",化学工程（博士）：高级数据科学,Chemical Engineering (PhD)：Advanced Data Science Option,工程学院,University of Washington College of Engineering,https://engr.washington.edu,PHD,,,$90 ,秋季,12月1日,3,92，低于92高于80需参加语言课程,7.0，低于7.0高于6.5需参加语言课程,可选,不接受,要求具有化学工程学士学位或硕士学位,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-CHEM%20E-00-30,https://www.cheme.washington.edu/graduate_students/prosp_grad/program/ADS.html
40,华盛顿大学,University of Washington,"Seattle, WA",土木与环境工程 -数据科学,Civil & Environmental Engineering - Data Science Option,工程学院,College of Engineering,https://www.engr.washington.edu,PHD,学生使用大型数据集、机器学习、统计推断和可视化技术应对现代土木和环境工程挑战。,,$90 ,秋季,12月15日,3,92，低于92高于80需参加语言课程,7.0，低于7.0高于6.5需参加语言课程,不要求,不接受,适用于在数据科学、计算机科学或编码方面很少或没有背景的学生。,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-CIV%20E-00-30,https://www.ce.washington.edu/current/phd/data-science-option
40,华盛顿大学,University of Washington,"Seattle, WA",电气工程（MSEE）:数据科学选项,Electrical Engineering (MSEE) - Seattle ：Data Science Option,工程学院,UW Department of Electrical & Computer Engineering,https://www.ece.uw.edu/,MSEE,,,$90 ,秋季,12月15日,3,92，低于92高于80需参加语言课程,7.0，低于7.0高于6.5需参加语言课程,不要求,不接受,具备电气方面的基本背景，拥有数学、物理、化学、计算机科学或其他工程分支等技术领域学位的申请人也可以申请，但需满足先修课程要求，具体请见招生网址,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-E%20E-00-26,https://www.ece.uw.edu/academics/grad/
40,华盛顿大学,University of Washington,"Seattle, WA",电气工程（博士） :数据科学选项,Electrical Engineering (PhD) - Seattle ：Data Science Option,工程学院,Department of Electrical & Computer Engineering,https://www.ece.uw.edu,PHD,,,$90 ,秋季,12月15日,3,92，低于92高于80需参加语言课程,7.0，低于7.0高于6.5需参加语言课程,不要求,不接受,具备电气方面的基本背景，拥有数学、物理、化学、计算机科学或其他工程分支等技术领域学位的申请人也可以申请，但需满足先修课程要求，具体请见招生网址,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-E%20E-00-30,https://www.ece.uw.edu/academics/grad/
40,华盛顿大学,University of Washington,"Seattle, WA",应用数学：高级数据科学,"Ph.D., Applied Mathematics: Advanced Data Science",文理学院,College of Arts & Sciences,https://artsci.washington.edu,PHD,,,$90 ,秋季,12月1日；1 月 13日,3.2,92，低于92高于80需参加语言课程,7.0，低于7.0高于6.5需参加语言课程,可选，科目考试可选,不接受,需微分方程、线性代数和科学计算或数值分析先修课程要求,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-AMATH-00-41,https://amath.washington.edu/phd-program
40,华盛顿大学,University of Washington,"Seattle, WA",心理学博士：数据科学选项,"Ph.D., Psychology: Data Science Option",文理学院,Department of Psychology,https://psych.uw.edu,PHD,,,$90 ,秋季,12月2日,3,92,7,不要求,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-PSYCH-00-41,https://psych.uw.edu/graduate/areas
40,华盛顿大学,University of Washington,"Seattle, WA",统计学（博士）社会科学统计学,Statistics (PhD)-Statistics in the Social Sciences,文理学院,College of Arts & Sciences,https://artsci.washington.edu,PHD,,,$90 ,秋季,12月2日,3,92，口语26,7.0，口语7.0,科目考试可选，录取过程中不使用 GRE 普通考试。,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-STAT-00-30,https://stat.uw.edu/academics/graduate/programs/phd
40,华盛顿大学,University of Washington,"Seattle, WA",水产与渔业科学：数据科学,Aquatic & Fishery Sciences (MS)： DATA SCIENCE TRACK,环境学院,School of Aquatic and Fishery Sciences,https://fish.uw.edu,MS,,,$90 ,秋季,11 月 15 日,3,92,7,不要求,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-AFS-00-25,https://fish.uw.edu/students/graduate-program/
40,华盛顿大学,University of Washington,"Seattle, WA",水产与渔业科学：数据科学,Aquatic & Fishery Sciences (PhD)： DATA SCIENCE TRACK,环境学院,School of Aquatic and Fishery Sciences,https://fish.uw.edu/,PHD,,,$90 ,秋季,11 月 15 日,3,92,7,不要求,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-AFS-00-41,https://fish.uw.edu/students/graduate-program/
40,华盛顿大学,University of Washington,"Seattle, WA",地球与空间科学（博士） : 数据科学 ,Earth and Space Sciences (PhD) ： DATA SCIENCE  TRACK,环境学院,College of the Environment,https://environment.uw.edu/,PHD,地球、太阳系及其历史。获得研究地球内部结构、化学、运动和动力学,,$90 ,秋季,12月1日,3,92,7,不要求,不接受,拥有各种本科专业的学生有资格申请ESS研究生课程。这些包括但不限于：生物学、地球科学、行星科学、数学、化学、物理学和工程学。,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-ESS-00-41,https://ess.uw.edu/education/graduate-program/
40,华盛顿大学,University of Washington,"Seattle, WA",大气科学: 数据科学 ,Atmospheric Sciences (PhD)： DATA SCIENCE  TRACK,环境学院,,,PHD,,,$90 ,秋季,12月1日,3,92，低于92高于80需参加语言课程,7.0，低于7.0高于6.5需参加语言课程,不要求,不接受,强大的物理，数学或化学背景,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-ATM%20S-00-41,https://atmos.uw.edu/students/graduate-program/academic-program/data-science-options/
40,华盛顿大学,University of Washington,"Seattle, WA",大气科学:高级数据科学 (ADS) ,Atmospheric Sciences (PhD)：ADVANCED DATA SCIENCE (ADS) TRACK,环境学院,College of the Environment,https://environment.uw.edu,PHD,,,$90 ,秋季,12月1日,3,92，低于92高于80需参加语言课程,7.0，低于7.0高于6.5需参加语言课程,不要求,不接受,强大的物理，数学或化学背景,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-ATM%20S-00-41,https://atmos.uw.edu/students/graduate-program/academic-program/data-science-options/
40,华盛顿大学,University of Washington,"Seattle, WA",公共政策与管理: 数据科学, PhD (Public Policy & Management) ： DATA SCIENCE  TRACK,公共政策与治理学院,Evans School of Public Policy & Governance,https://evans.uw.edu,PHD,,,$90 ,秋季,12月15日,3,92，低于92高于80需参加语言课程,7.0，低于7.0高于6.5需参加语言课程,可选，但需提交定量背景,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://evans.uw.edu/admissions/ph-d-admissions/,https://evans.uw.edu/academic-programs/phd/data-science-and-advanced-data-science-degree-options/
40,华盛顿大学,University of Washington,"Seattle, WA",公共政策与管理:高级数据科学, PhD (Public Policy & Management) ：ADVANCED DATA SCIENCE (ADS) TRACK,公共政策与治理学院,Evans School of Public Policy & Governance,https://evans.uw.edu,PHD,,,$90 ,秋季,12月15日,3,92，低于92高于80需参加语言课程,7.0，低于7.0高于6.5需参加语言课程,可选，但需提交定量背景,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://evans.uw.edu/admissions/ph-d-admissions/,https://evans.uw.edu/academic-programs/phd/data-science-and-advanced-data-science-degree-options/
40,罗格斯大学,"Rutgers University, New Brunswick","Piscataway, NJ",公共信息学硕士,Master of Public Informatics,规划与公共政策学院,Edward J. Bloustein School of Planning and Public Policy,https://bloustein.rutgers.edu,MPI,为教育专业学生群体提供了公共信息学所需能力的工具：统计，编程，数据管理，数据分析，可视化，空间分析，应用和这些技能的整合。,,$70 ,秋季,1月15日；4月1日,3,写作 22、口语 23、阅读 21、听力 17。,7,要求,接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://bloustein.rutgers.edu/graduate/apply/,https://bloustein.rutgers.edu/graduate/public-informatics/
40,罗格斯大学,"Rutgers University, New Brunswick","Piscataway, NJ",公共信息学硕士,Master of Public Informatics,规划与公共政策学院,Edward J. Bloustein School of Planning and Public Policy,https://bloustein.rutgers.edu,MPI,为教育专业学生群体提供了公共信息学所需能力的工具：统计，编程，数据管理，数据分析，可视化，空间分析，应用和这些技能的整合。,,$70 ,春季,11月1日,3,写作 22、口语 23、阅读 21、听力 17。,7,要求,接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://bloustein.rutgers.edu/graduate/apply/,https://bloustein.rutgers.edu/graduate/public-informatics/
40,塔夫斯大学,Tufts University,"Medford, MA",营养流行病学和数据科学,Nutrition Epidemiology and Data Science,营养科学与政策学院,Gerald J. and Dorothy R. Friedman School of Nutrition Science and Policy,https://nutrition.tufts.edu,MS,掌握一般营养学，营养生物化学和生理学，生物统计学和流行病学方面的深入知识。学生将了解如何设计和开展流行病学研究，并获得数据分析和演示中基本技术的实践经验。,,$70 ,春季,10 月 15 日,要求,100,7,可选,不接受,一般营养学，普通生物学，普通化学（实验室），有机化学和生物化学的本科水平课程。,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://nutrition.tufts.edu/admissions/application-checklist,https://nutrition.tufts.edu/academics/degree-programs/nutrition-data-science
40,塔夫斯大学,Tufts University,"Medford, MA",营养流行病学和数据科学,Nutrition Epidemiology and Data Science,营养科学与政策学院,Gerald J. and Dorothy R. Friedman School of Nutrition Science and Policy,https://nutrition.tufts.edu,MS,掌握一般营养学，营养生物化学和生理学，生物统计学和流行病学方面的深入知识。学生将了解如何设计和开展流行病学研究，并获得数据分析和演示中基本技术的实践经验。,,$70 ,秋季,1月 15 日,要求,100,7,可选,不接受,一般营养学，普通生物学，普通化学（实验室），有机化学和生物化学的本科水平课程。,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://nutrition.tufts.edu/admissions/application-checklist,https://nutrition.tufts.edu/academics/degree-programs/nutrition-data-science
40,塔夫斯大学,Tufts University,"Medford, MA",营养流行病学和数据科学,Nutrition Epidemiology and Data Science,营养科学与政策学院,Gerald J. and Dorothy R. Friedman School of Nutrition Science and Policy,https://nutrition.tufts.edu,PHD,掌握一般营养学，营养生物化学和生理学，生物统计学和流行病学方面的深入知识。学生将了解如何设计和开展流行病学研究，并获得数据分析和演示中基本技术的实践经验。,,$70 ,秋季,12月 1 日,要求,100,7,强烈鼓励,不接受,一般营养学，普通生物学，普通化学（实验室），有机化学和生物化学的本科水平课程。,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://nutrition.tufts.edu/admissions/application-checklist,https://nutrition.tufts.edu/academics/degree-programs/nutrition-data-science
43,普渡大学西拉法叶分校,"Purdue University, West Lafayette","West Lafayette, IN",地理数据科学,Geodata Science,理学院,Department of Earth,https://www.eaps.purdue.edu/,MS,EAPS 专业地理数据科学硕士学位（Geodata Science for Professionals，GDSP）集成了严谨的学术课程、Hadoop 系统、GPU 和云计算等高性能数据科学计算环境，用于深度分析和 AI/深度学习，具有真实的-生活研究和工作经历。,,$75 ,秋季,3月15日,3,81，阅读：19、听力：14、口语：22、写作：18,7.0，阅读：6.5、听力：6、口语：7、写作：5.5,不要求，但可以提交,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/eas.html,https://www.eaps.purdue.edu/for_students/graduate/index.html
43,普渡大学西拉法叶分校,"Purdue University, West Lafayette","West Lafayette, IN",地理数据科学,Geodata Science,理学院,Department of Earth,https://www.eaps.purdue.edu,MS,EAPS 专业地理数据科学硕士学位（Geodata Science for Professionals，GDSP）集成了严谨的学术课程、Hadoop 系统、GPU 和云计算等高性能数据科学计算环境，用于深度分析和 AI/深度学习，具有真实的-生活研究和工作经历。,,$75 ,春季,10月15日,3,81，阅读：19、听力：14、口语：22、写作：18,7.0，阅读：6.5、听力：6、口语：7、写作：5.5,不要求，但可以提交,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/eas.html,https://www.eaps.purdue.edu/for_students/graduate/index.html
43,普渡大学西拉法叶分校,"Purdue University, West Lafayette","West Lafayette, IN",MS金融数据科学,MS Data Science in Finance,理学院,College of Science,https://www.purdue.edu/science/,MS,,,$75 ,秋季,12月31日,3,80，小分不低于20,6.5，小分不低于6.5,可选,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/stat.html,https://www.stat.purdue.edu/academic_programs/graduate/gradCompFinance.html
43,普渡大学西拉法叶分校,"Purdue University, West Lafayette","West Lafayette, IN",MS金融数据科学,MS Data Science in Finance,理学院,College of Science,https://www.purdue.edu/science/,MS,,,$75 ,春季,10月15日,3,80，小分不低于20,6.5，小分不低于6.5,可选,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/stat.html,https://www.stat.purdue.edu/academic_programs/graduate/gradCompFinance.html
46,马里兰大学学院公园分校,"University of Maryland, College Park","College Park, MD",应用政治分析硕士,M.S. in Applied Political Analytics,行为与社会科学学院,College of Behavioral and Social Sciences,https://bsos.umd.edu,MS,,,$75 ,秋季,2月 28日,3,96，口语22、听力24，阅读26，写作24；低于以上分数需要参加课前语言,7.0，口语6.5，其余小分7.0；低于以上分数需要参加课前语言,不需要,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://gradschool.umd.edu/behavioralsocial-sciences/apan,https://gvpt.umd.edu/landingtopic/ms-applied-political-analytics
46,马里兰大学学院公园分校,"University of Maryland, College Park","College Park, MD",调查和数据科学,Survey and Data Science,行为与社会科学学院,College of Behavioral and Social Sciences,https://bsos.umd.edu,MS,调查和数据科学硕士提供三个专业：调查统计、社会和心理科学以及数据科学。,,$75 ,秋季,1 月 10 日,3,96，口语22、听力24，阅读26，写作24；低于以上分数需要参加课前语言,7.0，口语6.5，其余小分7.0；低于以上分数需要参加课前语言,不需要,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://gradschool.umd.edu/behavioralsocial-sciences/suds,https://jpsm.umd.edu/landingtopic/onsite-programs
46,马里兰大学学院公园分校,"University of Maryland, College Park","College Park, MD",调查和数据科学,Survey and Data Science,行为与社会科学学院,College of Behavioral and Social Sciences,https://bsos.umd.edu,PhD,,,$75 ,秋季,1 月 10 日,3,96，口语22、听力24，阅读26，写作24；低于以上分数需要参加课前语言,7.0，口语6.5，其余小分7.0；低于以上分数需要参加课前语言,不需要,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://gradschool.umd.edu/behavioralsocial-sciences/surv,https://jpsm.umd.edu/landingtopic/onsite-programs
53,东北大学（波士顿校区）,Northeastern University（Boston）,"Boston, MA",土木工程：数据与系统,Data and Systems,工程学院,College of Engineering,https://coe.northeastern.edu,MS,该专业旨在培养学生在数据分析，机器学习和人工智能以及系统分析（例如运筹学，经济学，系统识别）和传感器中使用新兴技术，以解决跨越所有（传统）土木和环境工程（CEE）领域的问题。,,$100 ,秋季,12月1日；6月1日,要求,79,6.5,可选,不接受,申请人必须持有（或正在攻读）密切相关专业的本科工程或技术学位。,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://coe.northeastern.edu/academics-experiential-learning/graduate-school-of-engineering/graduate-admissions/,https://cee.northeastern.edu/academics/graduate-studies/ms-cive/
53,东北大学（波士顿校区）,Northeastern University（Boston）,"Boston, MA",土木工程：数据与系统,Data and Systems,工程学院,College of Engineering,https://coe.northeastern.edu,MS,该专业旨在培养学生在数据分析，机器学习和人工智能以及系统分析（例如运筹学，经济学，系统识别）和传感器中使用新兴技术，以解决跨越所有（传统）土木和环境工程（CEE）领域的问题。,,$100 ,春季,9月15日,要求,79,6.5,可选,不接受,申请人必须持有（或正在攻读）密切相关专业的本科工程或技术学位。,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://coe.northeastern.edu/academics-experiential-learning/graduate-school-of-engineering/graduate-admissions/,https://cee.northeastern.edu/academics/graduate-studies/ms-cive/
53,东北大学（波士顿校区）,Northeastern University（Boston）,"Boston, MA",应用定量方法和社会分析,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,College of Social Sciences and Humanities,https://cssh.northeastern.edu,MS,社会科学数据分析;计算社会科学;社会科学中的网络分析;社会科学中的统计方法;和信息伦理,1年,$100 ,秋季,6月15日,3,85,6.5,可选，可能对本科学位以外经验很少或没有经验的申请人有所帮助。,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://cssh.northeastern.edu/apply/graduate-admissions/,https://cssh.northeastern.edu/program/ms-science-in-applied-quantitative-methods-and-social-analysis/
53,东北大学（波士顿校区）,Northeastern University（Boston）,"Boston, MA",应用定量方法和社会分析,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,College of Social Sciences and Humanities,https://cssh.northeastern.edu,MS,社会科学数据分析;计算社会科学;社会科学中的网络分析;社会科学中的统计方法;和信息伦理,1年,$100 ,春季,10月1日,3,85,6.5,可选，可能对本科学位以外经验很少或没有经验的申请人有所帮助。,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://cssh.northeastern.edu/apply/graduate-admissions/,https://cssh.northeastern.edu/program/ms-science-in-applied-quantitative-methods-and-social-analysis/
53,东北大学 ,Northeastern University ,"Arlington , Virginia",应用定量方法和社会分析,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,College of Social Sciences and Humanities,https://cssh.northeastern.edu,MS,社会科学数据分析;计算社会科学;社会科学中的网络分析;社会科学中的统计方法;和信息伦理,1年,$100 ,秋季,6月15日,3,85,6.5,可选，可能对本科学位以外经验很少或没有经验的申请人有所帮助。,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://cssh.northeastern.edu/apply/graduate-admissions/,https://arlington.northeastern.edu/programs/applied-quantitative-methods-and-social-analysis/
53,东北大学 ,Northeastern University ,"Arlington , Virginia",应用定量方法和社会分析,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,College of Social Sciences and Humanities,https://cssh.northeastern.edu,MS,社会科学数据分析;计算社会科学;社会科学中的网络分析;社会科学中的统计方法;和信息伦理,1年,$100 ,春季,10月1日,3,85,6.5,可选，可能对本科学位以外经验很少或没有经验的申请人有所帮助。,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://cssh.northeastern.edu/apply/graduate-admissions/,https://arlington.northeastern.edu/programs/applied-quantitative-methods-and-social-analysis/
