univ_rank,univ_name,city,degree_detail,program_name,program_detail,program_length,application_fee_usd,terms_start,deadline,gpa_req,toefl_req,ielts_req,gre_req,gmat_req,academic_background,material_requirements,admission_url,program_url,more_info,course_url,interview,application_fee_waiver,department,department_url,recommendation_letters,ets_code,tags,professional_program,grad_requirement
12,Columbia University,"New York, NY",PhD,The PhD specialization in Data Science,"This program is not an independent degree, but is offered as a specialization option within the following doctoral programs: Ph.D. in Applied Mathematics; Ph.D. in Computer Science; Ph.D. in Electrical Engineering; Ph.D. in Industrial Engineering and Operations Research; and Ph.D. in Statistics.",,85,,,,,,,,Gain admission to the Data Science PhD by applying to the Applied Mathematics PhD; Computer Science PhD; Electrical Engineering PhD; Industrial Engineering and Operations Research PhD; Statistics PhD. The Data Science PhD is an option within the above 5 PhD programs.,Official transcript ；Three recommendation letters；Personal statement；Resumé or Curriculum Vitae,https://datascience.columbia.edu/education/programs/ph-d-with-a-specialization-in-data-science/,https://datascience.columbia.edu/education/programs/ph-d-with-a-specialization-in-data-science/,"• Interdisciplinary specialization for existing PhD students in Applied Math, CS, EE, IEOR, and Statistics.
• Curriculum spans Computation, Optimization, and Statistics, ensuring a broad and deep data science foundation.
• Access to ten Data Science Institute research centers, including Health Analytics and Smart Cities.
• Research focus areas: Climate, Healthcare, Social Justice, Business and Finance, and Foundations of Data Science.",,Optional,Applicable,The Fu Foundation School of Engineering and Applied Science,https://engineering.columbia.edu,3,,"Data Science, Interdisciplinary, Applied Mathematics, Computer Science, Statistics",Professional,No additional graduation requirement.
12,Columbia University,"New York, NY",MS,Applied Analytics,Learn practical data and leadership skills to succeed.,3 semesters,150,Fall,02-15,3,100,7,Optional,Optional,International students attending full-time programs - registering for at least 12 credits per semester - are eligible for student visas.,Transcripts from all post-secondary institutions attended.；Your CV；Two letters of recommendation；Statement of academic purpose (500 words or fewer)；Supplemental essay (250 words or fewer),https://sps.columbia.edu/admissions/masters-degree-applicants,https://sps.columbia.edu/academics/masters/applied-analytics,"• Integrated curriculum: Blends in-depth data analytics with leadership, management, and communication for broad industry impact.
• Specialized concentrations: Emerging Technologies (AI, blockchain, generative AI) and Quantitative Management Analytics for diverse career paths.
• Scholar-practitioner faculty: Learn from industry experts, including managing directors, ensuring real-world relevance and practical application.
• Career Catalyst Internship Program: Provides practical experience and networking opportunities, enhancing post-graduation career readiness.
• Applied problem-solving focus: Develops skills to tackle complex data challenges, translating insights into impactful business strategies.
- Additional deadlines: 3月15日",https://sps.columbia.edu/academics/masters/applied-analytics/full-time-master-science/curriculum-courses,Required,Applicable,Columbia University School of Professional Studies,https://sps.columbia.edu,2,2594,"Data Analytics, Artificial Intelligence, Management, Interdisciplinary, Quantitative",Professional,Capstone project required.
12,Columbia University,"New York, NY",MS,Applied Analytics,Learn practical data and leadership skills to succeed.,3 semesters,150,Spring,10-01,3,100,7,Optional,Optional,International students attending full-time programs - registering for at least 12 credits per semester - are eligible for student visas.,Transcripts from all post-secondary institutions attended.；Your CV；Two letters of recommendation；Statement of academic purpose (500 words or fewer)；Supplemental essay (250 words or fewer),https://sps.columbia.edu/admissions/masters-degree-applicants,https://sps.columbia.edu/academics/masters/applied-analytics,"• Specialized concentrations: Emerging Technologies (AI, blockchain) and Quantitative Management Analytics (finance, operations, risk).
• Practical skill integration: Combines data analytics with leadership, management, and communication for impactful decision-making.
• Flexible study options: Offered as full-time (on-campus) or part-time (on-campus/online) Master of Science degrees.
• Hands-on technology experience: Focuses on AI-driven analytics, secure data ecosystems, and scalable cloud solutions.",,Required,Applicable,School of Professional Studies,https://sps.columbia.edu,2,2594,"Data Analytics, Quantitative Analysis, Interdisciplinary, Leadership, Artificial Intelligence",Professional,A Capstone course is required.
12,Cornell University,"Ithaca, NY",M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),Applied Operations Research; Data Analysis; Financial Engineering; Information Technology; Manufacturing and Industrial Engineering; Strategic Action,1-1.5 years,105,Fall,12-01,,"100, Speaking: 22-26; Reading: 20; Listening: 15; Writing: 20",7,Optional,Not accepted,,Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://gradschool.cornell.edu/academics/fields-of-study/subject/operations-research-and-information-engineering/operations-research-and-information-engineering-meng-ithaca/,https://www.orie.cornell.edu/orie/programs/meng-degree-ithaca,"• Professional M.Eng. curriculum, emphasizing real-world application through an engineering design project.
• Data Analytics concentration, equipping students with mathematical modeling, large-scale computation, and data analytics skills.
• Client-sponsored project work provides practical experience with real data, deadlines, and deliverables.
• Cornell Tech Campus option offers entrepreneurial skills, tech-focused projects, and startup idea development.
• Graduates become prime recruiting targets for data science, analytics, product management, and entrepreneurial careers.",,Not needed,Applicable,School of Operations Research and Information Engineering,https://www.orie.cornell.edu,3,2098,"Operations Research, Information Engineering, Data Science, Financial Engineering, Interdisciplinary",Professional,Engineering design project required.
12,Cornell University,"Ithaca, NY",M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),Applied Operations Research; Data Analysis; Financial Engineering; Information Technology; Manufacturing and Industrial Engineering; Strategic Action,1-1.5 years,105,Spring,10-01,,"100, Speaking: 22-26; Reading: 20; Listening: 15; Writing: 20",7,Optional,Not accepted,Spring applications are of limited use; please confirm with students whether applications are accepted before applying.,Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://gradschool.cornell.edu/academics/fields-of-study/subject/operations-research-and-information-engineering/operations-research-and-information-engineering-meng-ithaca/,https://www.orie.cornell.edu/orie/programs/meng-degree-ithaca,"• Engineering design project required, not a thesis, enhancing real-world application skills.
• Seven in-demand concentrations available, including Data Analytics, for diverse career paths.
• Professionally focused curriculum emphasizes real-world application to practical challenges.",,Not needed,Applicable,School of Operations Research and Information Engineering,https://www.orie.cornell.edu/orie/,3,2098,"Operations Research, Information Engineering, Data Science, Financial Engineering, Interdisciplinary",Professional,Engineering design project required.
12,Cornell University,"Ithaca, NY",M.Eng.,Operations Research and Information Engineering (M.Eng.) (Cornell NYC Tech),"Data Science: Applied Machine Learning; Optimization Methods; Learning and Decision-making; Field Data Science; Digital Marketing; Natural Language Processing. Operations Analytics: Optimization Methods; Modeling under Uncertainty; Digital Marketing; Service and Online Markets; E-logistics; Health Technology, Data, and Systems.",1 year,95,Fall,12-02,,"100, Speaking: 22-26; Reading: 20; Listening: 15; Writing: 20",7,Not required,Not accepted,,Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://tech.cornell.edu/admissions/meng-application/,https://tech.cornell.edu/programs/masters-programs/master-in-operations-research-and-information-engineering/,"• Immersive Studio curriculum: develops product development and entrepreneurial skills through projects with industry partners.
• NYC Tech Hub location: integrates academic rigor with New York City's vibrant tech startup community.
• Data-driven decision-making: focuses on mathematical modeling, large-scale computation, and machine learning for business.
• Strong career outcomes: graduates secure roles in data science, consulting, and product management at leading tech companies.
- Additional deadlines: 1月23日; 4月1日",,Required,Applicable,Cornell Tech,https://tech.cornell.edu,3,2098,"Operations Research, Data Science, Machine Learning, Optimization, Interdisciplinary",Professional,An engineering design project is required.
12,Cornell University,"Ithaca, NY",M.P.S.,Information Science (M.P.S.),"User Experience Design, Data Science, Interactive Technology, Networks and Markets",1 year,105,Fall,01-21,,Speaking: 24; Reading: 20; Listening: 15; Writing: 20,"7.0, speaking 8.0",Not required,Not accepted,"Admitted students have a foundation in technology, social sciences, and human-centered systems. Ideal admitted students will possess strong writing skills, computational experience with proficiency in advanced programming languages, an understanding of web technologies, strong analytical abilities, an an understanding of the human/cognitive aspects of information systems, and a mathematical foundation including calculus, probability, statistics, and linear algebra.",Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://gradschool.cornell.edu/academics/fields-of-study/subject/information-science/information-science-mps-ithaca/,https://infosci.cornell.edu/masters/mps,"• One-year program preparing students for industry careers in information science.
• Capstone projects and practicums with client companies for real-world problem-solving.
• Flexible curriculum allows students to tailor skills in areas like UX design or data science.
• Graduates secure roles like UX designer, data scientist, and software engineer at leading companies.",,Required,Applicable,Cornell Ann S. Bowers College of Computing and Information Science,https://cis.cornell.edu,2,2098,"Interdisciplinary, Information Science, Computer Science, Social And Behavioral Aspects, Data Science",Professional,Capstone project required.
12,Cornell University,"Ithaca, NY",Ph.D.,Information Science (Ph.D.),"Human-Computer Interaction / Interface Design, Applied Machine Learning, Social Media, Computer-Supported Cooperative Work, Digital Humanities, Algorithmic Mechanism Design, Ubiquitous Computing and Mobile Computing, Social and Information Networks, Interpretive Analysis of Critical and Information Systems, Behavioral Science Approaches to Information Systems, Organizational and Institutional Analysis, Big Data Applications and Analytics, Markets, Technology Policy and Information Science Methods",,105,Fall,12-01,,Speaking: 22-26; Reading: 20; Listening: 15; Writing: 20,7,Not required,Not accepted,,Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://gradschool.cornell.edu/academics/fields-of-study/subject/information-science/information-science-phd-ithaca/,https://infosci.cornell.edu/phd,"• Interdisciplinary approach: Integrates computer science with social sciences, cognitive psychology, and cultural studies for holistic research.
• Broad research specializations: Includes Human-Computer Interaction, Data Science, Natural Language Processing, and Critical Data Studies.
• Key research groups: Features the Human-Computer Interaction group and digital libraries research like ePrint arXiv.
• Dual campus engagement: Offers research and learning opportunities across both the Ithaca and Cornell Tech campuses.",,Optional,Applicable,Faculty of Computing and Information Science,https://infosci.cornell.edu/,3,2098,"Interdisciplinary, Information Systems, Social Aspects Of Computing, Computer Science, Human-Computer Interaction",Professional,Comprehensive exam and research thesis required.
12,Cornell University,"Ithaca, NY",M.P.S.,Applied Statistics (Data Science),,1 year,105,Fall,02-01,,Speaking: 22-26; Reading: 20; Listening: 15; Writing: 20,7,Required,Not accepted,"The bachelor's degree should be quantitatively oriented and can be from multiple fields; for example, statistics, mathematics, engineering, physics, agriculture, biology, social, or computer science.",Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/,https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,"• Professional Science Master's (PSM) program, unique among Ivy League universities and approved by the Council of Graduate Schools.
• In-depth, real-world data analysis project prepares students for professional careers in industry, business, and government.
• Two specialized options: Statistical Analysis or Data Science, emphasizing computing, databases, and scripting skills.
• Accelerated one-year program readies graduates for diverse quantitative roles in global industries.",,Not needed,Applicable,Cornell Ann S. Bowers College of Computing and Information Science,https://www.cis.cornell.edu/,2,2098,"Statistics, Data Science, Applied Mathematics, Computer Science, Interdisciplinary",Professional,An in-depth statistical analysis project is required.
12,Cornell University,"Ithaca, NY",M.P.S.,Applied Statistics (Data Science),Spring admissions are limited. Please consult the university regarding application eligibility.,1 year,105,Spring,10-01,,Speaking: 22-26; Reading: 20; Listening: 15; Writing: 20,7,Required,Not accepted,"The bachelor's degree should be quantitatively oriented and can be from multiple fields; for example, statistics, mathematics, engineering, physics, agriculture, biology, social, or computer science.",Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/,https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,"• One-year professional training: Prepares for data analysis careers in business, industry, and government.
• Curriculum components: Core courses, electives, and a semester-long, real-world data analysis project.
• Specialization options: Two tracks—Statistical Analysis and Data Science, including high-performance computing.
• Professional Science Master's (PSM) program: Recognized by the Council of Graduate Schools.
• Dedicated computing resources: Access to computer labs at the Cornell Center for Social Sciences.",https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,Not needed,Applicable,Cornell Ann S. Bowers College of Computing and Information Science,https://cis.cornell.edu/,2,2098,"Statistics, Data Science, Applied, Interdisciplinary, Mathematics",Professional,An in-depth statistical analysis project is required.
12,University of Chicago,"Chicago, IL",MScA,Applied Data Science,"Centering on applied statistics, it provides students with advanced analytical training to develop the ability to derive insights from big data and construct automated artificial intelligence systems.",12-18 months,75,Fall,11-07,3,102,7,Not required,Not required,,LETTERS OF RECOMMENDATION；CANDIDATE STATEMENT；RESUME OR CV；INTERNATIONAL TRANSCRIPTS,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/,"• Real-world capstone projects with top companies across multiple sectors, solving business problems.
• Industry-leading faculty from across the country shaping the data science landscape.
• Flexible program options including full-time, part-time, in-person, online, and joint MBA/MS degrees.
• Access to an unparalleled network of global alumni, enhancing professional opportunities.
- Additional deadlines: 12月4日; 1月21日",https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/course-progressions/,Required,Applicable,Physical Sciences Division,https://physicalsciences.uchicago.edu/,2,1832,"Data Science, Computational Analysis, Applied, Interdisciplinary, Programming",Professional,Capstone project required
12,University of Chicago,"Chicago, IL",MS,Data Science,,,90,Fall,02-04,3,90,7,"Not required, can be submitted","Not required, can be submitted",,A personal statement of academic and career objectives；One transcript from each educational institution beyond high school.  Students seeking admission to the program normally must have a baccalaureate degree in a traditional discipline of the physical sciences；Three letters of recommendation.,https://codas.uchicago.edu/how-to-apply/,https://codas.uchicago.edu/academics/ms-data-science/,"• Comprehensive Research Project: Culminates in a comprehensive final research project, essential for a data science research career.
• Experiential Learning: Data Science Clinic and capstone projects involve solving real-world problems for industry clients.
• Strong Career Outcomes: Graduates achieve high placement rates in top companies, with a median starting salary of $115k.
• Diverse Research Areas: Specializations include AI, Data Systems, Human-Centered Data Science, and Machine Learning & Statistics.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHTMIKejiMWFvZyUj68Ml7qS4OTyIr8mi3Qk_V4Vd1MJfKMcufTSwD2tn3A5fgA0Y6Lh4tYyCxWpQ34vutvuFIK8Ke28SqQG4WpXDxrLAe6cDLTc4nb5fBZjRQhqMjxZ5RBEmCZp4yLRPim82hS-1xEwY0=,Not needed,Applicable,Physical Sciences Division,https://physicalsciences.uchicago.edu/,3,1832,"Data Science, Statistics, Computer Science, Interdisciplinary, Machine Learning",Professional,Comprehensive final project required.
12,University of Chicago,"Chicago, IL",Ph.D,Data Science,,,90,Fall,12-17,3,90,7,"Not required, can be submitted","Not required, can be submitted",,A personal statement of academic and career objectives；One transcript from each educational institution beyond high school.  Students seeking admission to the program normally must have a baccalaureate degree in a traditional discipline of the physical sciences；Three letters of recommendation.,https://codas.uchicago.edu/how-to-apply/,https://codas.uchicago.edu/academics/phd-in-data-science/,"• Diverse research areas: Artificial Intelligence, Data Systems, Human-Centered Data Science, Machine Learning, and Use-Inspired Data Science.
• Interdisciplinary thesis projects: Partnerships with DSI affiliates connect students to chosen research focus areas.
• Foundational curriculum: Strong emphasis on mathematical foundations, responsible data use, and advanced computational methods.",,Optional,Applicable,Physical Sciences Division,https://physicalsciences.uchicago.edu/,3,1832,"Data Science, Mathematics, Computer Science, Statistics, Interdisciplinary",Professional,"A synthesis project, dissertation proposal presentation, dissertation defense, and teaching assistantship are required."
15,"University of California, Berkeley","Berkeley, CA",M.Eng,Data Science,"Understand the fundamentals of data management, as well as the latest technologies and techniques for collecting, storing, and analyzing information.",1 year,155,Fall,01-06,3.0,"90, 100 recommended",7,Optional,Not accepted,"While we do not require applicants to our computer science programs to have a computer science degree, we do expect them to have a strong technical background equivalent to a bachelor's degree in computer science. Admission to these programs requires undergraduate or higher-level experience in programming, algorithms, data structures, and theory.",essays；Personal Statement；Letters of Recommendation；Transcripts；Statement of personal history.；Resume or Curriculum Vitae,https://grad.berkeley.edu/program/electrical-engineering-computer-sciences-meng/,https://eecs.berkeley.edu/academics/graduate/industry-programs/meng/,"• One-year professional master's designed for engineering leaders, integrating technical expertise with economic and social aspects.
• Rigorous, team-oriented capstone projects sourced via the Fung Capstone Marketplace provide experiential learning.
• Data Science concentration prepares students for careers in data-centric industries, focusing on management and analysis.
• Robust career services include advising, placement assistance, and access to an extensive alumni industry network.",,Required,Applicable,College of Engineering,https://engineering.berkeley.edu,3,4833,"Electrical Engineering, Computer Science, Interdisciplinary, Leadership, Data Science",Professional,Capstone project required.
15,"University of California, Berkeley","Berkeley, CA",MAna,Master of Analytics,"The program trains students in the use of data-driven analytical methods and tools for optimization, statistical analysis, simulation, and risk management, equipping them with relevant industry background. This enables graduates to not only master the skills of the latest tools and proficiently utilize large datasets, but also to formulate the right questions to develop innovative models and identify creative solutions for rapidly evolving business and industry challenges, as well as to communicate and implement their solutions.",1 year,155,Fall,01-06,3,90,7,Required,Not accepted,Has an engineering background or a mathematical science background.,Personal Statement；Letters of Recommendation；Transcripts；Statement of personal history.；Resume or Curriculum Vitae,https://grad.berkeley.edu/program/master-of-analytics-manlytx/,https://analytics.berkeley.edu/,"• Twelve-month STEM-designated program: immersive curriculum includes core analytics, capstone projects, and a required summer industry internship.
• Comprehensive career services: 100% internship placement, dedicated coaching, and extensive employer engagement near Silicon Valley.
• Strong employment outcomes: graduates achieve an average starting salary of $120,000 and average signing bonus of $10,000.
• Cutting-edge curriculum: taught by pioneering faculty who integrate expertise in optimization, statistics, simulation, and risk management.",,Not needed,Applicable,College of Engineering,https://engineering.berkeley.edu,2,4833,"Analytics, Data Science, Optimization, Statistics, Interdisciplinary",Professional,Capstone project and a 200-hour industry internship are required.
15,"University of California, Los Angeles","Los Angeles, CA",MENG,Data Science,,1 year,155,Fall,12-01,3,87 (Writing: 25; Speaking: 24; Reading: 21; Listening: 17). Total score below 100. Language courses required after enrollment,"7.0, below 7.5, language course required after admission",Required,Not accepted,"Applicants must have an undergraduate major in at least various engineering disciplines, mathematics, physics, or closely related fields.",Personal Statement；Letters of Recommendation；Transcripts；Resume or Curriculum Vitae,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/engineering-master-of-engineering/,https://www.meng.ucla.edu/,"• One-year professional degree for future engineering leaders.
• Data Science concentration: integrates Computer Science, Electrical & Computer Engineering, Computational Medicine expertise.
• Interdisciplinary coursework in data science, machine learning, and distributed systems.
• Engineering professional development in project management, finance, and entrepreneurship.
• Industry-sponsored capstone projects for practical experience and networking.",,Not needed,Applicable,UCLA Samueli School of Engineering,https://samueli.ucla.edu,3,4837,"Interdisciplinary, Engineering, Artificial Intelligence, Data Science, Technical Management",Professional,Capstone project required.
15,"University of California, Los Angeles","Los Angeles, CA",M.A.S.D.S,Master of Applied Statistics and Data Science,Applied Statistics and Data Science,,155,Fall,03-01,3,87 (Writing: 25; Speaking: 24; Reading: 21; Listening: 17). Total score below 100. Language courses required after enrollment,"7.0, below 7.5, language course required after admission","Optional, but strongly encouraged",Not accepted,"Applicants will have a strong quantitative background, including: linear algebra, multivariable calculus, probability and statistics, and programming/coding in certain languages.",Personal Statement；Letters of Recommendation；Transcripts；Resume or Curriculum Vitae,https://grad.ucla.edu/programs/physical-sciences/statistics-and-data-science-department/statistics-master-of-applied-statistics-and-data-science/,https://master.stat.ucla.edu/,"• Program designed for working professionals, with evening courses for timely completion.
• Required thesis project involves industry partners solving real-world business problems.
• Extensive industry and government partnerships provide internships and job prospects.
• Highest job placement rate among all UCLA Self-Supporting Programs.",,Not needed,Unknown,Statistics and Data Science Department,https://www.stat.ucla.edu/,2,4837,"Statistics, Data Science, Applied, Quantitative Analytics, Interdisciplinary",Professional,Thesis project required.
17,Rice University,"Houston, TX",MDS,Master of Data Science,The Master of Data Science (MDS) is a professional non-thesis degree designed to meet the needs of interdisciplinary professionals who intend to pursue technical careers in the field of data science.,3 semesters,85,Fall,01-30,3,90,7,Optional,Not accepted,Highly motivated students with undergraduate degrees in relevant disciplines are encouraged to apply for admission. Qualified applicants who have gained computer science coursework and/or practical computer science knowledge through research projects or industrial experience are given preference.,Recommendations；Transcripts；Statements of Purpose；CV or Résumé；,https://cs.rice.edu/academics/graduate-programs/admission/graduate-program-application,https://cs.rice.edu/academics/graduate-programs/professional-master-data-science,"• Professional, non-thesis degree for interdisciplinary professionals in data science.
• Specialized curriculum with options in business analytics, machine learning, or image processing.
• Semester-long capstone project for applying data science to real-world problems.
• Strong industry engagement via partnerships, networking, and optional summer internships.
• Practical skill development in business training, management, and professional communication.",,Not needed,Applicable,George R. Brown School of Engineering and Computing,https://engineering.rice.edu,3,6609,"Data Science, Interdisciplinary, Statistics, Computer Science, Mathematics",Professional,Capstone project required.
18,Vanderbilt University,"Nashville, TN",MS,Data Science,"Computing will focus on programming, data structures, computer systems, and methods. Data analysis will focus on data exploration, analysis, prediction, inference, and algorithms. Practical training aims to impart up-to-date workplace skills, ethical standards, and data science awareness.",2 years,95,Fall,01-03,3,"100, no sub-score below 21","7.0, no sub-score below 6.5",Optional,Optional,,Recommendations；Transcripts；Statements of Purpose；CV or Résumé；,https://www.vanderbilt.edu/datascience/msprogram/admissions/,https://www.vanderbilt.edu/datascience/msprogram/,- Additional deadlines: 2 月 15 日,,Required,Applicable,Vanderbilt Data Science,https://www.vanderbilt.edu/datascience/,3,1871,"Data Science, Statistics, Computer Science, Interdisciplinary, Machine Learning",Professional,"A capstone project is required, including its completion and presentation."
20," 
University of Notre Dame","Notre Dame, IN",PHD,PHD IN ANALYTICS,"You can excel in data-analysis intensive fields such as business analytics, data science, information systems, operations, and computational social science, conducting impactful research and supporting human prosperity.",,75,Fall,01-07,3,"80, Speaking not below 23",7,Required,Required,,Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://graduateschool.nd.edu/degree-programs/analytics-phd---doctoral/,https://mendoza.nd.edu/research-faculty/academic-departments/phd-analytics/,"• Core research in ethical human-centered analytics, computational social science, and digital experimentation.
• Dedicated analytics research labs including GAMA and HAL, collaborating with ND-TEC and Lucy Family Institute.
• Faculty engagement with industry partners such as Electronic Arts, Ubisoft, eBay, Oracle, and NASA.
• Full tuition waiver and annual $42,000 stipend provided for all admitted PhD students.",,Optional,Applicable,Mendoza College of Business,https://mendoza.nd.edu,3,,"Analytics, Data Science, Statistics, Machine Learning, Interdisciplinary",Professional,Comprehensive examination and research dissertation with proposal and final defense required.
20," 
University of Notre Dame","Notre Dame, IN",M.S.,Applied and Computational Mathematics,"Students in the professional ACMS Master's program will complete 30 credits of coursework in statistics, applied mathematics, or computational science. Our curriculum is designed to address problems faced by today's companies. Students can specialize in applied statistics, applied and computational mathematics, predictive analytics, or actuarial science.",10 months,75,Summer,01-15,3,"100, Speaking not below 23",7,Required,Not accepted,Suitable for students who may have completed an undergraduate internship and are eager to enter the job market quickly. Possesses deep knowledge in mathematics and statistics.,Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,"• Develops problem-solving skills with statistical, mathematical, and computational modeling for industry challenges.
• Specializations available: Applied Statistics, Applied and Computational Mathematics, Predictive Analytics, and Actuarial Science.
• Flexible program options include a 10-month track or a 16-month track with summer internship potential.
• Access to a Graduate Career Counselor for job search, resume, and interview preparation.
• Graduates secure roles with top employers, including PNC, Milliman, and the Philadelphia Phillies.",https://acms.nd.edu/graduate/professional-masters-programs/curriculum/,Not needed,Applicable,College of Science,https://science.nd.edu/,3,1841,"Applied Mathematics, Computational Mathematics, Statistics, Predictive Analytics, Actuarial Science",Professional,No additional graduation requirement.
20," 
University of Notre Dame","Notre Dame, IN",M.S.,Applied and Computational Mathematics,"Students in the professional ACMS Master's program will complete 30 credits of coursework in statistics, applied mathematics, or computational science. Our curriculum is designed to solve problems faced by today's companies. Students may specialize in Applied Statistics, Applied and Computational Mathematics, or Predictive Analytics.",16 months,75,Fall,01-15,3,"100, Speaking not below 23",7,Required,Not accepted,Possesses deep knowledge in mathematics and statistics. Students can undertake internships during the summer break between the second and third semesters of the program and apply for jobs after completing one full year of study in the program.,Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,"• Professional MS-ACMS: 30 credits in applied statistics, computational math, predictive analytics, or actuarial science.
• Flexible study options: 10-month accelerated path or 16-month option for summer internships.
• Dedicated career services: Graduate Career Counselor assistance for resume, interviews, and job search.
• Strong industry placements: Graduates secure roles in quantitative analytics, actuarial consulting, and data science.",,Not needed,Applicable,College of Science,https://science.nd.edu/,3,1841,"Statistics, Applied Mathematics, Computational Science, Predictive Analytics, Interdisciplinary",Professional,No additional graduation requirement.
21,"University of Michigan, Ann Arbor","Ann Arbor, MI",MENG,Data Science and Machine Learning,"This program aims to cultivate electrical, computer, and systems engineers, equipping them with the theory and practice of data science and machine learning, enabling them to undertake sensing, control, inference, planning, and decision-making for modern engineering systems. The curriculum emphasizes rigorous theory, hands-on practice, and the development of computational inference skills related to large-scale complex engineering systems.",,90,Fall,01-15,3.5,84,6.5,Required,Not accepted,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://ece.engin.umich.edu/academics/graduate-programs/prospective-grad-students/apply-for-grad/apply-for-meng/,https://ece.engin.umich.edu/academics/graduate-programs/prospective-grad-students/about-the-master-of-engineering-meng-program/,"• Industry-focused curriculum with practical training, engineering projects, and industrial skills for career entry.
• High workforce demand alignment, with a curriculum focused on emerging application areas in modern engineering systems.
• Data Science and Machine Learning concentration emphasizes rigorous theory, hands-on practice, and computational reasoning.
• Accelerated completion timeline, allowing students to finish the 26-credit program in one calendar year.",,Not needed,Applicable,College of Engineering,https://engineering.umich.edu,3,1839,"Electrical Engineering, Computer Engineering, Data Science, Machine Learning, Autonomous Systems",Professional,A project and design course and entrepreneurship/leadership/communication/project management courses are required.
21,"University of Michigan, Ann Arbor","Ann Arbor, MI",Ph.D,Industrial and Operations Engineering,Applied Statistics / Decision Science; Engineering Management / Financial Engineering; Ergonomics; Health Systems Engineering; Operations Research; Production / Distribution / Logistics,,90,Fall,12-10,3.5,84,6.5,"Not required, for 25 latest requirements please see admissions website",Not accepted,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://ioe.engin.umich.edu/graduate/phd-program/phd-admissions-planning/,https://ioe.engin.umich.edu/graduate/phd-program/,"• Full fellowship funding includes stipend, tuition, and healthcare, with guaranteed support until completion.
• Extensive interdisciplinary opportunities exist with engineering departments, Michigan Medicine, and other U-M schools.
• Research areas focus on real-world applications in healthcare, aviation, finance, and transportation.
• Ranked #2 Industrial Engineering Graduate Program by U.S. News & World Report, 2025.",,Optional,Applicable,College of Engineering,https://engin.umich.edu,3,1839,"Industrial Engineering, Operations Engineering, Data Analytics, Optimization, Stochastic Systems, Interdisciplinary",Professional,Research thesis required.
21,"University of Michigan, Ann Arbor","Ann Arbor, MI",MS,Industrial and Operations Engineering,"Doctoral programs can be pursued, with specialization areas including: Business Operations Engineering; Data Analytics and Applied Statistics; Financial Engineering; Healthcare and Human Security; Human Systems Integration; Occupational Safety Engineering and Ergonomics; Operations Research and Analytics; Quality Control and Reliability Engineering.",,90,Fall,01-15,3,84,6.5,"Not required, for 25 latest requirements please see admissions website",Not accepted,"Admission to this degree program requires a bachelor's degree in mathematics, science, or other undergraduate programs from an accredited institution.",transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,"• Eight distinct program areas: operations engineering, data analytics, financial engineering, healthcare, human systems, safety, operations research, quality control.
• Industry internships and research experiences in faculty labs prepare students for industry or PhD careers.
• Human-centered approach to optimizing systems, leveraging over 50 years in ergonomics, human factors, and safety engineering.
• Opportunities for student-initiated dual-Master's and joint-PhD programs with diverse departments like Psychology, Biomedical Engineering, Business.
• Consistently top-ranked master's programs, emphasizing human-centric solutions in operations research, systems optimization, and human factors.",https://bulletin.engin.umich.edu/courses/ioe/,Not needed,Applicable,College of Engineering,https://engin.umich.edu,3,1839,"Industrial Engineering, Operations Research, Data Analytics, Statistics, Interdisciplinary",Professional,No additional graduation requirement.
