大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,所属院系英文名称,所属院系网址,response_1,response_2,response_3,response_1_valid,response_2_valid,response_3_valid,valid_response_count,selected_response,consistency_type,consistency_detail
"University of Texas, Austin",MSE ,Electrical and Computer Engineering,工程学院,https://www.ece.utexas.edu/academics/graduate/admissions,https://www.ece.utexas.edu/academics/graduate/degrees,Cockrell School of Engineering,https://engr.utexas.edu,"Cockrell School of Engineering, https://engr.utexas.edu","The content from both URLs mentions ""Cockrell School of Engineering"" at the bottom of the page. This seems to be the parent school. I will assume this is the school and now I need to find its homepage. The current URL is `https://www.ece.utexas.edu/`. I will try `https://engineering.utexas.edu/` as a likely homepage for the Cockrell School of Engineering. I will browse this URL to confirm.","The browsed pages confirm that the ""Chandra Family Department of Electrical and Computer Engineering"" is part of the ""Cockrell School of Engineering"". Both pages also include a link to the ""Cockrell School of Engineering"" in the footer. I will use the information to construct the output.",True,False,False,1,"Cockrell School of Engineering, https://engr.utexas.edu",single_valid_response,Only one valid response
"University of Texas, Austin",MSE ,Electrical and Computer Engineering,工程学院,https://www.ece.utexas.edu/academics/graduate/admissions,https://www.ece.utexas.edu/academics/graduate/degrees,Cockrell School of Engineering,https://engr.utexas.edu,"Cockrell School of Engineering, https://cockrell.utexas.edu","Cockrell School of Engineering, https://engr.utexas.edu","Cockrell School of Engineering, https://engr.utexas.edu",True,True,True,3,"Cockrell School of Engineering, https://engr.utexas.edu",majority_valid_same,2 valid responses are identical
"University of California, Irvine",MDS,Master of Data Science,信息与计算机科学学院,https://mds.ics.uci.edu/overview/admissions/,https://mds.ics.uci.edu/,Donald Bren School of Information and Computer Sciences,https://www.ics.uci.edu,"Donald Bren School of Information and Computer Sciences, https://www.ics.uci.edu/","Donald Bren School of Information and Computer Sciences, https://www.ics.uci.edu","Donald Bren School of Information & Computer Sciences, https://www.ics.uci.edu/",True,True,True,3,"Donald Bren School of Information and Computer Sciences, https://www.ics.uci.edu",all_valid_different,"All valid responses are different, randomly selected"
Georgia Institute of Technology,MS,Analytics,商学院,https://www.analytics.gatech.edu/admissions,https://www.analytics.gatech.edu/,H. Milton Stewart School of Industrial and Systems Engineering,https://www.isye.gatech.edu,"H. Milton Stewart School of Industrial and Systems Engineering, https://www.isye.gatech.edu","H. Milton Stewart School of Industrial and Systems Engineering, https://www.isye.gatech.edu","H. Milton Stewart School of Industrial and Systems Engineering, https://www.isye.gatech.edu",True,True,True,3,"H. Milton Stewart School of Industrial and Systems Engineering, https://www.isye.gatech.edu",all_valid_same,All 3 valid responses are identical
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,https://www.graddiv.ucsb.edu/graduate-programs/departments/statistics,https://www.pstat.ucsb.edu/graduate/ma,College of Letters and Science,https://www.ltsc.ucsb.edu/,,"College of Letters and Science, https://www.ltsc.ucsb.edu/",,False,True,False,1,"College of Letters and Science, https://www.ltsc.ucsb.edu/",single_valid_response,Only one valid response
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,https://www.graddiv.ucsb.edu/graduate-programs/departments/statistics,https://www.pstat.ucsb.edu/graduate/ma,College of Letters & Science,https://lettersandsience.ucsb.edu/,"College of Letters & Science, https://lettersandsience.ucsb.edu/","College of Letters and Science, https://lettersandscience.ucsb.edu/",,True,True,False,2,"College of Letters & Science, https://lettersandsience.ucsb.edu/",all_valid_different,"All valid responses are different, randomly selected"
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,https://www.graddiv.ucsb.edu/graduate-programs/departments/statistics,https://www.pstat.ucsb.edu/graduate/ma,College of Letters & Science,https://www.lettersandscience.ucsb.edu/,"College of Letters and Science, https://www.ltsc.ucsb.edu","College of Letters & Science, https://www.lettersandscience.ucsb.edu/","College of Letters and Science, https://college.ucsb.edu",True,True,True,3,"College of Letters & Science, https://www.lettersandscience.ucsb.edu/",all_valid_different,"All valid responses are different, randomly selected"
New York University,Ph.D,Data Science ,文理研究生院,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/phd-curriculum/,Graduate School of Arts & Science,https://gsas.nyu.edu,"Graduate School of Arts & Science, https://gsas.nyu.edu","Graduate School of Arts and Science, https://gsas.nyu.edu","Graduate School of Arts & Science, https://gsas.nyu.edu",True,True,True,3,"Graduate School of Arts & Science, https://gsas.nyu.edu",majority_valid_same,2 valid responses are identical
New York University,MS,Data Science ,文理研究生院,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/masters-in-data-science-curriculum/,Graduate School of Arts & Science,https://gsas.nyu.edu,"Graduate School of Arts & Science, https://gsas.nyu.edu","Graduate School of Arts & Science, https://gsas.nyu.edu","Graduate School of Arts & Science, https://gsas.nyu.edu",True,True,True,3,"Graduate School of Arts & Science, https://gsas.nyu.edu",all_valid_same,All 3 valid responses are identical
New York University,MS,Data Science （Industry Concentration）,文理研究生院,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/masters-in-data-science-industry-concentration/,NYU Center for Data Science,https://cds.nyu.edu,"NYU Center for Data Science, https://cds.nyu.edu","Graduate School of Arts & Science, https://gsas.nyu.edu","Graduate School of Arts and Science, https://gsas.nyu.edu",True,True,True,3,"NYU Center for Data Science, https://cds.nyu.edu",all_valid_different,"All valid responses are different, randomly selected"
New York University,MS,MS in Data Analytics & Business Computing,商学院,https://stern.shanghai.nyu.edu/en/admissions/ms-data-analytics-and-business-computing/application-checklist,https://stern.shanghai.nyu.edu/en/program/ms-data-analytics-business-computing,Leonard N. Stern School of Business,https://www.stern.nyu.edu,"Leonard N. Stern School of Business, https://www.stern.nyu.edu","Leonard N. Stern School of Business, https://stern.shanghai.nyu.edu","Leonard N. Stern School of Business, https://www.stern.nyu.edu",True,True,True,3,"Leonard N. Stern School of Business, https://www.stern.nyu.edu",majority_valid_same,2 valid responses are identical
"University of Wisconsin, Madison",M.S.,MS – Data Engineering,文理学院,https://guide.wisc.edu/graduate/computer-sciences/data-engineering-ms/#admissionstext,https://www.cs.wisc.edu/our-graduate-degrees-programs/,School of Computer,https://cdis.wisc.edu,"School of Computer, Data & Information Sciences, https://www.cs.wisc.edu/","School of Computer, Data & Information Sciences, https://cdis.wisc.edu","School of Computer, Data & Information Sciences, https://cdis.wisc.edu",True,True,True,3,"School of Computer, Data & Information Sciences, https://cdis.wisc.edu",majority_valid_same,2 valid responses are identical
"University of Wisconsin, Madison",MS,Statistics and Data Science,文理学院,https://guide.wisc.edu/graduate/statistics/statistics-ms/statistics-statistics-data-science-ms/#admissionstext,https://stat.wisc.edu/graduate-admissions/data-science-option/,School of Computer,https://cdis.wisc.edu/,"The browse results clearly indicate the ""Department of Statistics"" houses this program. The first URL states under ""Contact Information"": ""Department of Statistics, College of Letters & Science"". The second URL's title is ""Statistics and Data Science Option – Department of Statistics – UW ..."" and it also explicitly mentions ""School of Computer, Data & Information Sciences"" in the header.

So, the Department of Statistics is housed within the College of Letters & Science, and also associated with the School of Computer, Data & Information Sciences.

Looking at the URLs, https://stat.wisc.edu/ appears to be the homepage for the Department of Statistics. The question asks for the ""school / college / faculty"" that houses the program and its *official homepage URL*.

From the second browsed page: ""Department of Statistics, School of Computer, Data & Information Sciences"". This suggests that the Department of Statistics is part of the School of Computer, Data & Information Sciences (CDIS).

Let's verify which one is the ""school/college"".
The first URL states ""Department of Statistics, College of Letters & Science"".
The second URL states ""Department of Statistics"" and then ""School of Computer, Data & Information Sciences"".

It seems the Department of Statistics is the primary department, and it is part of the College of Letters & Science, and also associated with the School of Computer, Data & Information Sciences. The ""School of Computer, Data & Information Sciences"" seems more like a ""school/college"" entity than a ""department"".

Let's search for ""School of Computer, Data & Information Sciences University of Wisconsin Madison site:.edu"" to find its homepage.","School of Computer, Data & Information Sciences, https://cdis.wisc.edu/","School of Computer, Data & Information Sciences, https://cdis.wisc.edu/",False,True,True,2,"School of Computer, Data & Information Sciences, https://cdis.wisc.edu/",all_valid_same,All 2 valid responses are identical
"University of Wisconsin, Madison",MS,Statistics and Data Science,文理学院,https://guide.wisc.edu/graduate/statistics/statistics-ms/statistics-statistics-data-science-ms/#admissionstext,https://stat.wisc.edu/graduate-admissions/data-science-option/,School of Computer,https://cdis.wisc.edu/,"School of Computer, Data & Information Sciences, https://cdis.wisc.edu/","School of Computer, Data & Information Sciences, https://cdis.wisc.edu/","School of Computer, Data & Information Sciences, https://cdis.wisc.edu/",True,True,True,3,"School of Computer, Data & Information Sciences, https://cdis.wisc.edu/",all_valid_same,All 3 valid responses are identical
"University of Wisconsin, Madison",MS,Data Science,文理学院,https://guide.wisc.edu/graduate/statistics/data-science-ms/#admissionstext,https://stat.wisc.edu/graduate-admissions/ms-datascience/,School of Computer,https://cdis.wisc.edu/,"School of Computer, Data & Information Sciences, https://datascience.wisc.edu","School of Computer, Data & Information Sciences, https://cdis.wisc.edu/","School of Computer, Data & Information Sciences, https://cdis.wisc.edu/",True,True,True,3,"School of Computer, Data & Information Sciences, https://cdis.wisc.edu/",majority_valid_same,2 valid responses are identical
"University of Illinois, Urbana-Champaign",MS,Data Science + CEE M.S.,工程学院,https://cee.illinois.edu/admissions/graduate/admission-requirements-and-process,https://cee.illinois.edu/academics/graduate-programs/ms-degree-and-curriculum,The Grainger College of Engineering,https://grainger.illinois.edu,"The Grainger College of Engineering, https://grainger.illinois.edu","The Grainger College of Engineering, https://grainger.illinois.edu",,True,True,False,2,"The Grainger College of Engineering, https://grainger.illinois.edu",all_valid_same,All 2 valid responses are identical
"University of Illinois, Urbana-Champaign",MS,Data Science + CEE M.S.,工程学院,https://cee.illinois.edu/admissions/graduate/admission-requirements-and-process,https://cee.illinois.edu/academics/graduate-programs/ms-degree-and-curriculum,The Grainger College of Engineering,https://grainger.illinois.edu,"The Grainger College of Engineering, https://grainger.illinois.edu","The Grainger College of Engineering, https://grainger.illinois.edu/","The Grainger College of Engineering, https://grainger.illinois.edu",True,True,True,3,"The Grainger College of Engineering, https://grainger.illinois.edu",majority_valid_same,2 valid responses are identical
"University of Illinois, Urbana-Champaign",MS,MS in Industrial Engineering with the Advanced Analytics Concentration,工程学院,https://ise.illinois.edu/graduate/admissions/international-applicants,https://ise.illinois.edu/graduate/degrees-and-programs/advanced-analytics-concentration,The Grainger College of Engineering,https://grainger.illinois.edu,"The Grainger College of Engineering, https://grainger.illinois.edu/","The Grainger College of Engineering, https://grainger.illinois.edu","The Grainger College of Engineering, https://grainger.illinois.edu",True,True,True,3,"The Grainger College of Engineering, https://grainger.illinois.edu",majority_valid_same,2 valid responses are identical
"University of Illinois, Urbana-Champaign",MS,MS in Industrial Engineering with the Advanced Analytics Concentration,工程学院,https://ise.illinois.edu/graduate/admissions/international-applicants,https://ise.illinois.edu/graduate/degrees-and-programs/advanced-analytics-concentration,The Grainger College of Engineering,https://grainger.illinois.edu,"The Grainger College of Engineering, https://grainger.illinois.edu","The Grainger College of Engineering, https://grainger.illinois.edu","The Grainger College of Engineering, https://grainger.illinois.edu",True,True,True,3,"The Grainger College of Engineering, https://grainger.illinois.edu",all_valid_same,All 3 valid responses are identical
"University of Illinois, Urbana-Champaign",,Data Science & Engineering (DSE),工程学院,,https://cse.illinois.edu/cse-educational-programs/dse-graduate-concentration/,The Grainger College of Engineering,https://grainger.illinois.edu,"The Grainger College of Engineering, https://grainger.illinois.edu",,,True,False,False,1,"The Grainger College of Engineering, https://grainger.illinois.edu",single_valid_response,Only one valid response
"University of Illinois, Urbana-Champaign",MS,MS in Information Management,信息科学学院,https://ischool.illinois.edu/degrees-programs/graduate/ms-information-management/apply,https://ischool.illinois.edu/degrees-programs/graduate/ms-information-management,School of Information Sciences,https://ischool.illinois.edu,"School of Information Sciences, https://ischool.illinois.edu","School of Information Sciences, https://ischool.illinois.edu","School of Information Sciences, https://ischool.illinois.edu",True,True,True,3,"School of Information Sciences, https://ischool.illinois.edu",all_valid_same,All 3 valid responses are identical
"University of Illinois, Urbana-Champaign",MS,MS in Information Management,信息科学学院,https://ischool.illinois.edu/degrees-programs/graduate/ms-information-management/apply,https://ischool.illinois.edu/degrees-programs/graduate/ms-information-management,School of Information Sciences,https://ischool.illinois.edu,"School of Information Sciences, https://ischool.illinois.edu","The browsed pages clearly state ""School of Information Sciences"" in their titles and content. The URL `https://ischool.illinois.edu` is the homepage for this school.","School of Information Sciences, https://ischool.illinois.edu",True,False,True,2,"School of Information Sciences, https://ischool.illinois.edu",all_valid_same,All 2 valid responses are identical
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,https://stat.illinois.edu/admissions/prospective-graduate-students/application-requirements,https://stat.illinois.edu/academics/graduate-programs/ms-statistics-analytics,College of Liberal Arts & Sciences,https://las.illinois.edu,"College of Liberal Arts & Sciences, https://las.illinois.edu","College of Liberal Arts & Sciences, https://las.illinois.edu","College of Liberal Arts & Sciences, https://las.illinois.edu",True,True,True,3,"College of Liberal Arts & Sciences, https://las.illinois.edu",all_valid_same,All 3 valid responses are identical
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,https://stat.illinois.edu/admissions/prospective-graduate-students/application-requirements,https://stat.illinois.edu/academics/graduate-programs/ms-statistics-analytics,College of Liberal Arts & Sciences,https://las.illinois.edu,"College of Liberal Arts & Sciences, https://las.illinois.edu","College of Liberal Arts & Sciences, https://las.illinois.edu","College of Liberal Arts & Sciences, https://las.illinois.edu",True,True,True,3,"College of Liberal Arts & Sciences, https://las.illinois.edu",all_valid_same,All 3 valid responses are identical
Boston College,MS,Master of Science (M.S.) in Applied Analytics,高级研究学院,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html,Woods College of Advancing Studies,https://www.bc.edu/content/bc-web/schools/wcas/,"Woods College of Advancing Studies, https://www.bc.edu/content/bc-web/schools/wcas.html","Woods College of Advancing Studies, https://www.bc.edu/content/bc-web/schools/wcas/","Woods College of Advancing Studies, https://www.bc.edu/bc-web/schools/wcas.html",True,True,True,3,"Woods College of Advancing Studies, https://www.bc.edu/content/bc-web/schools/wcas/",all_valid_different,"All valid responses are different, randomly selected"
Boston College,MS,Master of Science (M.S.) in Applied Analytics,高级研究学院,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html,Woods College of Advancing Studies,https://www.bc.edu/content/bc-web/schools/wcas/,"The browsed page clearly states ""M.S. in Applied Analytics - Graduate - Woods College of Advancing Studies - Boston College"" in the title and content. The URL path also contains `/schools/wcas/`, where ""wcas"" stands for ""Woods College of Advancing Studies."" The footer of the page also includes ""Woods College of Advancing Studies"" with its address and contact information.

Therefore, the school is ""Woods College of Advancing Studies"" and its homepage URL appears to be the main `bc.edu` page for the college which is `https://www.bc.edu/content/bc-web/schools/wcas.html` (derived from the browsed URL by removing the specific program path). I will verify this homepage URL in a separate browse.",,"Woods College of Advancing Studies, https://www.bc.edu/content/bc-web/schools/wcas/",False,False,True,1,"Woods College of Advancing Studies, https://www.bc.edu/content/bc-web/schools/wcas/",single_valid_response,Only one valid response
Boston College,MS,Master of Science (M.S.) in Applied Analytics,高级研究学院,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html,Woods College of Advancing Studies,https://www.bc.edu/bc-web/schools/wcas.html,"Woods College of Advancing Studies, https://www.bc.edu/bc-web/schools/wcas.html","Woods College of Advancing Studies, https://www.bc.edu/bc-web/schools/wcas.html","Woods College of Advancing Studies, https://www.bc.edu/content/bc-web/schools/wcas.html",True,True,True,3,"Woods College of Advancing Studies, https://www.bc.edu/bc-web/schools/wcas.html",majority_valid_same,2 valid responses are identical
University of Washington,MS,Data Science - Interdisciplinary Group (MS in Data Science) ,文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-R-DATA-00-26,https://www.washington.edu/datasciencemasters/,UW Graduate School,https://grad.uw.edu,"UW Graduate School, https://grad.uw.edu","UW Graduate School, https://grad.uw.edu/",,True,True,False,2,"UW Graduate School, https://grad.uw.edu",all_valid_different,"All valid responses are different, randomly selected"
University of Washington,PHD,Mathematics (PhD) —Data Science Option,文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-MATH-00-30,https://math.washington.edu/graduate-program,College of Arts & Sciences,https://artsci.washington.edu/,"College of Arts & Sciences, https://artsci.washington.edu",,"College of Arts & Sciences, https://artsci.washington.edu/",True,False,True,2,"College of Arts & Sciences, https://artsci.washington.edu/",all_valid_different,"All valid responses are different, randomly selected"
University of Washington,PHD,Statistics (PhD)：ADVANCED DATA SCIENCE (ADS) TRACK,文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-STAT-00-30,https://stat.uw.edu/academics/graduate/programs/phd,College of Arts & Sciences,https://artsci.washington.edu,"College of Arts & Sciences, https://artsci.washington.edu","College of Arts & Sciences, https://artsci.washington.edu","College of Arts & Sciences, https://artsci.washington.edu/",True,True,True,3,"College of Arts & Sciences, https://artsci.washington.edu",majority_valid_same,2 valid responses are identical
University of Washington,PHD,Statistics (PhD)-Machine Learning and Big Data,文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-STAT-00-30,https://stat.uw.edu/academics/graduate/programs/phd,Department of Statistics,https://stat.uw.edu/,"Department of Statistics, https://stat.uw.edu/","College of Arts & Sciences, https://artsci.washington.edu/","The first URL returned an error. The second URL, `https://stat.uw.edu/academics/graduate/programs/phd`, clearly states ""Ph.D. Program | University of Washington Department of Statistics"" in its title and content. It also shows ""UW Home College of Arts & Sciences"" in the navigation.

This indicates that the ""Department of Statistics"" is housed within the ""College of Arts & Sciences"" at the University of Washington.

Now I need to find the homepage URL for the ""College of Arts & Sciences"". I will go to the UW Home link provided in the navigation and check for ""College of Arts & Sciences"" or directly search.

The navigation shows ""UW Home College of Arts & Sciences ArtsUW Directories Maps MyUW"". This strongly suggests ""College of Arts & Sciences"" is the direct parent. I will look for the official homepage of the ""College of Arts & Sciences"" on the University of Washington website.

I will try browsing the root domain of the provided URL and look for ""College of Arts & Sciences"". The root is uw.edu.
Let's try to get to the homepage of the College of Arts & Sciences based on the information provided in the browsed page.
The provided page `https://stat.uw.edu/academics/graduate/programs/phd` has a link to ""College of Arts & Sciences"" in its header navigation. I will look for its URL. It does not explicitly state the URL in the content but it's likely linked from there.

A more direct way is to search for ""University of Washington College of Arts & Sciences homepage site:uw.edu"" to confirm the official URL.
",True,True,False,2,"Department of Statistics, https://stat.uw.edu/",all_valid_different,"All valid responses are different, randomly selected"
University of Washington,MS,Statistics - (MS - Advanced Methods & Data Analysis - Fulltime) ,文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-STAT-20-25,https://stat.uw.edu/academics/graduate/programs/fulltimemasters,Department of Statistics,https://stat.uw.edu,"Department of Statistics, https://stat.uw.edu","College of Arts & Sciences, https://artsci.washington.edu","College of Arts & Sciences, https://artsci.washington.edu/",True,True,True,3,"Department of Statistics, https://stat.uw.edu",all_valid_different,"All valid responses are different, randomly selected"
"Rutgers University, New Brunswick",M.S.,MS in Information Technology and Analytics,商学院,https://www.business.rutgers.edu/masters-information-technology-analytics/admissions,https://www.business.rutgers.edu/masters-information-technology-analytics,Rutgers Business School,https://www.business.rutgers.edu,"Rutgers Business School, https://www.business.rutgers.edu","Rutgers Business School, https://www.business.rutgers.edu","Rutgers Business School, https://www.business.rutgers.edu",True,True,True,3,"Rutgers Business School, https://www.business.rutgers.edu",all_valid_same,All 3 valid responses are identical
"Rutgers University, New Brunswick",M.S.,MS in Information Technology and Analytics,商学院,https://www.business.rutgers.edu/masters-information-technology-analytics/admissions,https://www.business.rutgers.edu/masters-information-technology-analytics,Rutgers Business School,https://www.business.rutgers.edu,"Rutgers Business School, https://www.business.rutgers.edu","Rutgers Business School, https://www.business.rutgers.edu","Rutgers Business School, https://www.business.rutgers.edu",True,True,True,3,"Rutgers Business School, https://www.business.rutgers.edu",all_valid_same,All 3 valid responses are identical
"Rutgers University, New Brunswick",MI,Master of Information,传播与信息学院,https://comminfo.rutgers.edu/graduate-programs/master-information/mi-admission,https://comminfo.rutgers.edu/graduate-programs/master-information,School of Communication and Information,https://comminfo.rutgers.edu,"The provided URLs clearly state that the Master of Information (MI) program is housed within the ""School of Communication and Information"" (SC&I) at Rutgers University. The homepage URL for the school is evident in the address bar and throughout the content.

School of Communication and Information, https://comminfo.rutgers.edu","School of Communication and Information, https://comminfo.rutgers.edu","School of Communication and Information, https://comminfo.rutgers.edu",False,True,True,2,"School of Communication and Information, https://comminfo.rutgers.edu",all_valid_same,All 2 valid responses are identical
"Rutgers University, New Brunswick",MI,Master of Information,传播与信息学院,https://comminfo.rutgers.edu/graduate-programs/master-information/mi-admission,https://comminfo.rutgers.edu/graduate-programs/master-information,School of Communication and Information,https://comminfo.rutgers.edu,"School of Communication and Information, https://comminfo.rutgers.edu","School of Communication and Information, https://comminfo.rutgers.edu","School of Communication and Information, https://comminfo.rutgers.edu",True,True,True,3,"School of Communication and Information, https://comminfo.rutgers.edu",all_valid_same,All 3 valid responses are identical
"Rutgers University, New Brunswick",MI,Master of Information,传播与信息学院,https://comminfo.rutgers.edu/graduate-programs/master-information/mi-admission,https://comminfo.rutgers.edu/graduate-programs/master-information,School of Communication and Information,https://comminfo.rutgers.edu,"School of Communication and Information, https://comminfo.rutgers.edu","School of Communication and Information, https://comminfo.rutgers.edu","School of Communication and Information, https://comminfo.rutgers.edu",True,True,True,3,"School of Communication and Information, https://comminfo.rutgers.edu",all_valid_same,All 3 valid responses are identical
"Rutgers University, New Brunswick",MS,Data Science  ,文理学院,https://msds-stat.rutgers.edu/msds-admissions/msds-adminfo2,https://msds-stat.rutgers.edu/,School of Arts and Sciences,https://sas.rutgers.edu/,"School of Arts and Sciences, https://sas.rutgers.edu/","School of Arts and Sciences, https://sas.rutgers.edu","School of Arts and Sciences, https://sas.rutgers.edu/",True,True,True,3,"School of Arts and Sciences, https://sas.rutgers.edu/",majority_valid_same,2 valid responses are identical
"Rutgers University, New Brunswick",MS,Data Science  ,文理学院,https://msds-stat.rutgers.edu/msds-admissions/msds-adminfo2,https://msds-stat.rutgers.edu/,School of Arts and Sciences,https://sas.rutgers.edu/,"School of Arts and Sciences, https://sas.rutgers.edu/","School of Arts and Sciences, https://sas.rutgers.edu","School of Arts and Sciences, https://sas.rutgers.edu/",True,True,True,3,"School of Arts and Sciences, https://sas.rutgers.edu/",majority_valid_same,2 valid responses are identical
"Rutgers University, New Brunswick",MBS,Business and Science - Computer and Information Sciences,文理学院,https://grad.admissions.rutgers.edu/GraduateProgram/Detail.aspx?id=a501U0000004gG8QAI,https://mbs.rutgers.edu/personhybrid-mbs-concentrations,School of Graduate Studies,https://grad.rutgers.edu,"School of Graduate Studies, https://grad.rutgers.edu","The School of Graduate Studies, https://grad.rutgers.edu","Rutgers School of Graduate Studies, https://grad.rutgers.edu",True,True,True,3,"School of Graduate Studies, https://grad.rutgers.edu",all_valid_different,"All valid responses are different, randomly selected"
"Rutgers University, New Brunswick",MBS,Business and Science - Computer and Information Sciences,文理学院,https://grad.admissions.rutgers.edu/GraduateProgram/Detail.aspx?id=a501U0000004gG9QAI,https://mbs.rutgers.edu/personhybrid-mbs-concentrations,Rutgers School of Graduate Studies,https://grad.rutgers.edu/,,"Rutgers School of Graduate Studies, https://grad.rutgers.edu/","Rutgers School of Graduate Studies, https://grad.rutgers.edu/",False,True,True,2,"Rutgers School of Graduate Studies, https://grad.rutgers.edu/",all_valid_same,All 2 valid responses are identical
Tufts University,MS,Data Analytics ,文理学院,https://asegrad.tufts.edu/program/data-analytics-masters,https://as.tufts.edu/dataanalytics/academics/masters-program,School of Arts and Sciences,https://as.tufts.edu/,"School of Arts and Sciences, https://as.tufts.edu/","School of Arts and Sciences, https://as.tufts.edu","Graduate School of Arts and Sciences and the School of Engineering, https://asegrad.tufts.edu/",True,True,True,3,"School of Arts and Sciences, https://as.tufts.edu/",all_valid_different,"All valid responses are different, randomly selected"
Tufts University,MS,Data Science ,工程学院,https://asegrad.tufts.edu/program/data-science-masters,https://engineering.tufts.edu/datascience/academics/ms-data-science,School of Engineering,https://engineering.tufts.edu,"School of Engineering, https://engineering.tufts.edu","School of Engineering, https://engineering.tufts.edu","School of Engineering, https://engineering.tufts.edu",True,True,True,3,"School of Engineering, https://engineering.tufts.edu",all_valid_same,All 3 valid responses are identical
Tufts University,MS,Data Science ,工程学院,https://asegrad.tufts.edu/program/data-science-masters,https://engineering.tufts.edu/datascience/academics/ms-data-science,School of Engineering,https://engineering.tufts.edu,"School of Engineering, https://engineering.tufts.edu","School of Engineering, https://engineering.tufts.edu","School of Engineering, https://engineering.tufts.edu",True,True,True,3,"School of Engineering, https://engineering.tufts.edu",all_valid_same,All 3 valid responses are identical
Boston University,MS,Computer Science ：data-centric computing.,艺术与科学学院,https://www.bu.edu/cs/masters/admissions/,https://www.bu.edu/cs/masters/program/cs/,Graduate School of Arts & Sciences,https://www.bu.edu/academics/grs/,"The browse results indicate that ""Admissions to all MS programs at the BU Department of Computer Science are managed by the BU Graduate School of Arts & Sciences.""

The contact information at the bottom of both pages also shows ""Boston University Arts & Sciences Department of Computer Science"".

Therefore, the school is the Graduate School of Arts & Sciences. I need to find the homepage URL for the Graduate School of Arts & Sciences. I will look for a link within the browsed pages or use a targeted search. I see a link to ""www.bu.edu"" at the bottom of the page, but I need the specific Graduate School of Arts & Sciences homepage.

I will perform a search for ""Boston University Graduate School of Arts & Sciences homepage site:.edu"".","Graduate School of Arts & Sciences, https://www.bu.edu/academics/grs/","Graduate School of Arts & Sciences, https://www.bu.edu/cas/about/about-grs/",False,True,True,2,"Graduate School of Arts & Sciences, https://www.bu.edu/academics/grs/",all_valid_different,"All valid responses are different, randomly selected"
Boston University,MS, Master of Science in Statistical Practice,艺术与科学学院,https://www.bu.edu/mssp/admission/,https://www.bu.edu/mssp/,Graduate School of Arts & Sciences,https://www.bu.edu/cas/,"Graduate School of Arts & Sciences, https://www.bu.edu/cas/","Graduate School of Arts & Sciences, https://www.bu.edu/cas/about/graduate-school/","Graduate School of Arts & Sciences, https://www.bu.edu/cas/",True,True,True,3,"Graduate School of Arts & Sciences, https://www.bu.edu/cas/",majority_valid_same,2 valid responses are identical
Boston University,MS,Data Analytics,工程学院,https://www.bu.edu/eng/admissions/graduate/graduate-admissions/application-deadlines-requirements/,https://www.bu.edu/eng/academics/explore-degree-programs/masters-degree-specializations/,College of Engineering,https://www.bu.edu/eng/,"College of Engineering, https://www.bu.edu/eng/","College of Engineering, https://www.bu.edu/eng/","College of Engineering, https://www.bu.edu/eng/",True,True,True,3,"College of Engineering, https://www.bu.edu/eng/",all_valid_same,All 3 valid responses are identical
Boston University,PHD, PhD program in Computing & Data Sciences,计算与数据科学学院,https://www.bu.edu/cds-faculty/programs-admissions/phd-degree/,https://www.bu.edu/cds-faculty/programs-admissions/phd-degree/,Faculty of Computing & Data Sciences,https://www.bu.edu/cds-faculty/,The,"Faculty of Computing & Data Sciences, https://www.bu.edu/cds-faculty/","Faculty of Computing & Data Sciences, https://www.bu.edu/cds-faculty/",False,True,True,2,"Faculty of Computing & Data Sciences, https://www.bu.edu/cds-faculty/",all_valid_same,All 2 valid responses are identical
