序号,大学英文名称,学位,专业英文名称,所属院系,Gemini最终毕业要求,处理状态,Gemini完整回答,原始回答1,原始回答2,原始回答3
72,Washington University in St. Louis,MS,Master of Data Analytics & Applications,继续和专业教育学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement,No additional graduation requirement.
73,Washington University in St. Louis,MS,Master of Data Analytics & Applications,继续和专业教育学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,"The first URL (`https://caps.washu.edu/lp/master-of-data-analytics-applications/`) did not provide content. The second URL (`https://caps.washu.edu/student-success/graduate-application-requirements/`) discusses admission requirements, not graduation requirements. It mentions that ""Each graduate program may have its own set of application requirements, in addition to what is listed below."" but nothing about graduation.

Since the direct links did not provide the answer, I will now use the suggested search query.",No additional graduation requirement.
74,University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,A corporate internship course is an optional graduation requirement that may increase the total required credits.,No additional graduation requirement.,Not found
75,University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,Capstone project required.,SUCCESS,Capstone project required.,"An optional corporate internship course is available, increasing the credit requirement to 42 credits.",Capstone project required.,Capstone course required.
76,University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Corporate internship course option available.,No additional graduation requirement.,Not found
77,University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,The,Not found
78,"University of California, Davis",MS,Statistics- DATA SCIENCE TRACK (48 units),文学与科学学院,Comprehensive exam required.,SUCCESS,Comprehensive exam required.,Comprehensive exam required.,"A comprehensive final examination, which fulfills the capstone requirement, is required.",Comprehensive exam required.
79,"University of California, San Diego",PhD,Data Science,数据科学研究所,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=374, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=374)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2421, traffic_type=None) automatic_function_calling_history=[] parsed=None","A preliminary assessment examination, a research qualifying examination, a dissertation and its defense, and at least one quarter of teaching assistant experience are required.","A research thesis, a preliminary assessment examination, a research qualifying examination, a dissertation defense examination, and one quarter of teaching assistant experience are required.","Research thesis, preliminary assessment examination, research qualifying examination, and teaching assistant experience are required."
80,"University of California, San Diego",MS,Data Science,数据科学研究所,Thesis or comprehensive examination required.,SUCCESS,Thesis or comprehensive examination required.,Thesis or comprehensive examination required.,Thesis or comprehensive examination required.,Thesis or comprehensive examination required.
81,"University of California, San Diego",MS,Machine Learning and Data Science ,工程学院,Comprehensive examination or thesis option required.,SUCCESS,Comprehensive examination or thesis option required.,Comprehensive examination or thesis option required.,Comprehensive examination or thesis option available.,Comprehensive examination or thesis option required.
82,"University of California, San Diego",PHD,Machine Learning and Data Science ,工程学院,"Research project, preliminary and university qualifying examinations, and a doctoral thesis are required.",SUCCESS,"Research project, preliminary and university qualifying examinations, and a doctoral thesis are required.","Preliminary and University Qualifying Examinations, and a doctoral thesis are required.","Research project, preliminary and university qualifying examinations, and a doctoral thesis are required.","Research project, preliminary and university qualifying examinations, and a doctoral thesis are required."
83,University of Southern California,PhD,Business Administration( Data Sciences & Operations),商学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=372, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=372)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2419, traffic_type=None) automatic_function_calling_history=[] parsed=None","A summer research paper, a first-year screening examination, a qualifying examination, and a research dissertation with defense are required.","A summer research paper, a first-year screening examination, a qualifying exam, and a research dissertation are required.","A summer research paper, a first-year screening examination, a qualifying exam, and a dissertation defense and submission are required."
84,University of Southern California,M.S.,Computer Science (Data Science),工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
85,University of Southern California,M.S.,Computer Science (Data Science),工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
86,University of Southern California,M.S.,Applied Data Science,工程学院,No additional graduation requirement,SUCCESS,No additional graduation requirement,Professional practicum required.,No additional graduation requirement.,No additional graduation requirement.
87,University of Southern California,M.S.,Applied Data Science,工程学院,Professional practicum required.,SUCCESS,Professional practicum required.,Professional practicum required.,Professional practicum required.,No additional graduation requirement.
88,University of Southern California,M.S.,ECE-Machine Learning and Data Science,工程学院,No additional graduation requirement,SUCCESS,No additional graduation requirement,No additional graduation requirement,No additional graduation requirement,No additional graduation requirement.
89,University of Southern California,M.S.,ECE-Machine Learning and Data Science,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
90,University of Southern California,M.S.,Analytics,工程学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=315, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=315)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2362, traffic_type=None) automatic_function_calling_history=[] parsed=None",Thesis or directed research option available.,No additional graduation requirement.,Thesis option available.
91,University of Southern California,M.S.,Analytics,工程学院,Thesis option available.,SUCCESS,Thesis option available.,Thesis option available.,No additional graduation requirement.,Thesis option available.
92,University of Southern California,M.S.,Mathematical Data Science M.S.,文理学院,Comprehensive exam or Master's thesis required.,SUCCESS,Comprehensive exam or Master's thesis required.,Comprehensive exams or a Master's thesis required.,Comprehensive exam or Master's thesis required.,Comprehensive exam or Master's thesis required.
93,"University of Texas, Austin", Ph.D.,Electrical and Computer Engineering ,工程学院,No additional graduation requirement,SUCCESS,No additional graduation requirement,"A dissertation is required, including a minimum of six hours of dissertation courses.","The ""Admissions"" page and ""Degrees"" page provide an overview of the programs but do not explicitly state the non-coursework graduation requirements for the Ph.D. in Electrical and Computer Engineering. The ""Degrees"" page mentions ""PhD students will participate in state-of-the-art research along with faculty researchers"" and ""Students within the PhD program are expected to enroll in at least 3 hours of research problems or, later, dissertation courses each semester"". This hints at research and a dissertation, which is common for a PhD, but it doesn't explicitly state it as a *graduation requirement* beyond coursework.

I need to dig deeper for specific requirements. I will look for links on these pages that might lead to ""Degree Requirements"", ""Program Handbook"", or ""Curriculum"" for the PhD program. On the ""Degrees"" page, under ""PhD"", there is a ""Learn More"" button. I will click that.",
94,"University of Texas, Austin", Ph.D.,Electrical and Computer Engineering ,工程学院,"A qualifying exam, a dissertation proposal and advancement to candidacy, and a research dissertation with a public defense are required.",SUCCESS,"A qualifying exam, a dissertation proposal and advancement to candidacy, and a research dissertation with a public defense are required.",Research dissertation required.,"A qualifying exam, a dissertation proposal and advancement to candidacy, and a research dissertation with a public defense are required.",The
95,"University of Texas, Austin",MSE ,Electrical and Computer Engineering,工程学院,No additional graduation requirement,SUCCESS,No additional graduation requirement,,The,"Thesis or report options are available, with thesis requiring original research and a written thesis."
96,"University of Texas, Austin",MSE ,Electrical and Computer Engineering,工程学院,"Thesis, report, or coursework-only options are available.",SUCCESS,"Thesis, report, or coursework-only options are available.","Thesis or report option is available, with the thesis option requiring original research and a written thesis.","Thesis, report, or coursework-only options are available.","The provided URLs give an overview of the graduate programs and admissions but do not detail the specific non-coursework graduation requirements for the MSE in Electrical and Computer Engineering. The ""Degrees"" page mentions ""MSE degree requirements are unchanged relative to the existing MSEE degrees"" but doesn't specify what those are. It also says ""Most graduate students have the opportunity to participate in state-of-the-art research along with faculty researchers"" which hints at research, but it's not stated as a *requirement*.

I need to look for a ""Learn More"" link or similar to find the specific requirements. The ""Degrees"" page has ""Learn More"" links under each degree. I should check the ""Learn More"" link for ""Master of Science in Engineering."""
97,"University of California, Irvine",MDS,Master of Data Science,信息与计算机科学学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required
98,Georgia Institute of Technology,MS,Analytics,商学院,Applied analytics practicum required.,SUCCESS,Applied analytics practicum required.,Applied analytics practicum required.,Applied Analytics Practicum required.,An applied analytics practicum is required.
99,"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,Project required.,SUCCESS,Project required.,"The browse results provide the following information:

From `https://www.pstat.ucsb.edu/graduate/ma`:

*   **Mathematical Statistics Specialization**: Students must pass a comprehensive examination corresponding to two of three course sequences, OR pass a comprehensive examination corresponding to one of the three sequences AND prepare a thesis under the supervision of a faculty member and defend it.
*   **Applied Statistics Specialization**: Students must pass a comprehensive written examination and submit a project report on data analysis.
*   **Data Science Specialization**: Students can choose or be assigned a project in PSTAT 230 to fulfill the Data Science Project requirement.

The question specifically asks about the ""MA Statistics-Data Science"" program. For the Data Science specialization, a project is required.

Therefore, the non-coursework requirement is a project. For the other specializations, there are comprehensive exams and/or a thesis. Since the question asks about ""MA Statistics-Data Science"", I should focus on that specialization.

The requirement for ""MA Statistics-Data Science"" is a project.

The output format requires ""one concise sentence—no quotes, no explanations.""

So, the answer should be ""Project required"".

Let me double check the specific wording ""MA Statistics-Data Science"". The program is ""MA in Statistics"" with specializations. Data Science is one of the specializations.

The exact wording from the Data Science specialization section is: ""Students in this track can choose or be assigned a project in PSTAT 230 to fulfil the Data Science Project requirement"".

This clearly indicates a project is a non-coursework requirement. For the other two specializations, it's either comprehensive exam or thesis. I will stick to the Data Science specialization as that is what was requested.
Project required.",A project is required.,"Comprehensive exam, thesis, or project report required depending on specialization."
100,"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,A data science project is required.,SUCCESS,A data science project is required.,"Comprehensive exam, thesis, or project is required depending on specialization.",A project is required.,A data science project is required.
101,"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,A project is required for the Data Science specialization.,SUCCESS,A project is required for the Data Science specialization.,A project is required for the Data Science specialization.,"Comprehensive exam, thesis, or project required.",Data Science specialization requires a project.
102,New York University,Ph.D,Data Science ,文理研究生院,"A teaching requirement, comprehensive exam, depth qualifying exam, PhD dissertation, and research rotations are required.",SUCCESS,"A teaching requirement, comprehensive exam, depth qualifying exam, PhD dissertation, and research rotations are required.","A teaching requirement, comprehensive exam, depth qualifying exam, PhD dissertation, and research rotations are required.","Teaching requirement, comprehensive exam, depth qualifying exam, and a PhD dissertation are required.","A research dissertation, comprehensive exam, depth qualifying exam, teaching requirement, and research rotations are required."
103,New York University,MS,Data Science ,文理研究生院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
104,New York University,MS,Data Science （Industry Concentration）,文理研究生院,Mandatory internship and practical training experience required.,SUCCESS,Mandatory internship and practical training experience required.,A mandatory internship or practical training is required.,A mandatory internship is required.,Mandatory internship and practical training experience required.
105,New York University,MS,MS in Data Analytics & Business Computing,商学院,Capstone project required.,SUCCESS,Capstone project required.,"The first URL is about the application checklist, which does not contain information on graduation requirements.
The second URL describes the program, its learning objectives, and curriculum, but it does not explicitly state any non-coursework graduation requirements like a thesis, capstone, or exam. It mentions ""Curriculum"" as a sub-menu item, so I will check that.

Since the initial browse didn't yield the information, I will look for a ""Curriculum"" page or similar under the same domain. I see a link to ""Curriculum"" under the ""MS in Data Analytics and Business Computing"" program navigation on the second URL. I will browse that page.",A capstone project is required.,Capstone project required.
106,"University of Wisconsin, Madison",M.S.,MS – Data Engineering,文理学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement,No additional graduation requirement.
107,"University of Wisconsin, Madison",MS,Statistics and Data Science,文理学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,A data science computing project and a practicum are required.,No additional graduation requirement.,No additional graduation requirement.
108,"University of Wisconsin, Madison",MS,Statistics and Data Science,文理学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
109,"University of Wisconsin, Madison",MS,Data Science,文理学院,API_ERROR: Error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000),API_ERROR,Error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000),No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
110,"University of Illinois, Urbana-Champaign",MS,Data Science + CEE M.S.,工程学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=313, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=313)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2360, traffic_type=None) automatic_function_calling_history=[] parsed=None",Research thesis option available.,Research thesis optional.,No additional graduation requirement.
111,"University of Illinois, Urbana-Champaign",MS,Data Science + CEE M.S.,工程学院,Thesis or non-thesis option available.,SUCCESS,Thesis or non-thesis option available.,Thesis option available.,Thesis or non-thesis option available.,Research thesis optional.
112,"University of Illinois, Urbana-Champaign",MS,MS in Industrial Engineering with the Advanced Analytics Concentration,工程学院,Thesis or independent study required.,SUCCESS,Thesis or independent study required.,Thesis or independent study required.,Research thesis or independent study required.,Thesis or independent study required.
113,"University of Illinois, Urbana-Champaign",MS,MS in Industrial Engineering with the Advanced Analytics Concentration,工程学院,Thesis or independent study required.,SUCCESS,Thesis or independent study required.,Thesis or independent study required.,"The ""MS in Industrial Engineering with the Advanced Analytics Concentration"" page is the most relevant. It states:

""The MS in Industrial Engineering degree with the Advanced Analytics Concentration is offered on-campus and online. Students may choose to pursue the thesis or non-thesis option in the program. As a general guideline, students who do not wish to pursue a PhD program should enroll in the non-thesis option; students who plan to pursue a PhD must complete the thesis option.""

It further details the requirements for each option:
*   **Thesis Option**: ""24 hours of coursework and 8 hours of thesis research"".
*   **Non-Thesis Option**: ""32 hours of coursework and 4 hours of independent study"".

Therefore, the non-coursework requirement is either a thesis or an independent study.
Research thesis or independent study required.",Thesis or independent study/project required.
114,"University of Illinois, Urbana-Champaign",,Data Science & Engineering (DSE),工程学院,Completion of an online ethics course and an ethics seminar is required.,SUCCESS,Completion of an online ethics course and an ethics seminar is required.,Completion of an online ethics course and an ethics seminar is required.,The,Online course and seminar attendance with summaries required.
115,"University of Illinois, Urbana-Champaign",MS,MS in Information Management,信息科学学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,Not found
116,"University of Illinois, Urbana-Champaign",MS,MS in Information Management,信息科学学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,"An independent study (IS 589) or an internship is available as an option for the MS in Information Management program, but not explicitly required.",Not found,No additional graduation requirement.
117,"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,"Experiential learning through statistical consulting, professional statistics, or an internship is required.",SUCCESS,"Experiential learning through statistical consulting, professional statistics, or an internship is required.","An experiential learning component, which can be satisfied through statistical consulting, professional statistics, or an internship, is required.","Experiential learning through statistical consulting, professional statistics, or an approved internship is required.","The Admissions URL primarily discusses application requirements and financial aid, not graduation requirements.
The Program URL for MS: Statistics-Analytics details ""Course Requirements"". Under ""Experiential Learning,"" it states: ""Select one of the following - 4 hours: STAT 427 – Statistical Consulting (4 hours) STAT 443 – Professional Statistics (4 hours) STAT 593 – STAT Internship (0 or 4 hours)"". It mentions ""Team problem solving and communication of statistical results is critical for career success. The experiential learning requirement focuses on these skills and is a choice of consulting, professional preparation or approved internship.""

This indicates that students must complete one of these options, which are non-coursework requirements (specifically, an internship or practical experience through consulting/professional statistics).

Therefore, a non-coursework requirement exists.
Internship or practical experience through statistical consulting or professional statistics is required.
Internship or practical experience required."
118,"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,"Experiential learning, fulfilled by an internship, statistical consulting, or professional statistics, is required.",SUCCESS,"Experiential learning, fulfilled by an internship, statistical consulting, or professional statistics, is required.","Experiential learning, including an internship, is required.","An experiential learning requirement can be fulfilled by an internship, statistical consulting, or professional statistics.","The ""MS: Statistics-Analytics"" page lists ""Experiential Learning"" as a requirement, which involves choosing one of the following: STAT 427 (Statistical Consulting), STAT 443 (Professional Statistics), or STAT 593 (STAT Internship). These are non-coursework requirements."
119,Boston College,MS,Master of Science (M.S.) in Applied Analytics,高级研究学院,Applied Analytics Project required.,SUCCESS,Applied Analytics Project required.,Applied Analytics Project required.,Capstone project required.,Applied Analytics project required.
120,Boston College,MS,Master of Science (M.S.) in Applied Analytics,高级研究学院,Applied Analytics project required.,SUCCESS,Applied Analytics project required.,An Applied Analytics project is required.,Capstone project required.,Applied Analytics Project required.
121,Boston College,MS,Master of Science (M.S.) in Applied Analytics,高级研究学院,Applied Analytics Project required.,SUCCESS,Applied Analytics Project required.,Applied Analytics Project required.,Capstone project required.,Applied Analytics Project required.
122,University of Washington,MS,Data Science - Interdisciplinary Group (MS in Data Science) ,文理学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required,"The first URL was not accessible. The second URL, `https://www.washington.edu/datasciencemasters/`, states under ""Industry-Relevant Curriculum"": ""The curriculum consists of eight core courses and a two-quarter capstone project. The capstone project gives students the opportunity to work on a data science challenge facing an external organization.""

This clearly indicates a non-coursework requirement."
123,University of Washington,PHD,Mathematics (PhD) —Data Science Option,文理学院,"A writing milestone, a general examination, and a research thesis are required.",SUCCESS,"A writing milestone, a general examination, and a research thesis are required.","A writing milestone, a general examination, a research thesis, and four quarters of Data Science Seminar registration are required.","A writing milestone, research thesis, and general examination are required.",The
124,University of Washington,PHD,Statistics (PhD)：ADVANCED DATA SCIENCE (ADS) TRACK,文理学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=382, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=382)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2429, traffic_type=None) automatic_function_calling_history=[] parsed=None","Comprehensive exams, an applied data analysis project, a research dissertation, consulting, seminar participation, and a teaching requirement are mandatory.","Multiple comprehensive exams, an applied data analysis project, a dissertation and defense, consulting, seminar participation, and a","Comprehensive exams, a research preliminary exam, an applied data analysis project, a consulting requirement, seminar participation, a teaching requirement, dissertation credits, and a dissertation defense are required."
125,University of Washington,PHD,Statistics (PhD)-Machine Learning and Big Data,文理学院,"M.S. Theory Exam, Research Prelim Exam, Consulting, Applied Data Analysis Project, Statistics seminar participation, Teaching requirement, General Exam, Dissertation, and Dissertation Defense are required.",SUCCESS,"M.S. Theory Exam, Research Prelim Exam, Consulting, Applied Data Analysis Project, Statistics seminar participation, Teaching requirement, General Exam, Dissertation, and Dissertation Defense are required.","The program requires an M.S. Theory Exam, Research Prelim Exam, Consulting, Applied Data Analysis Project, Statistics seminar participation, a teaching requirement, a General Exam, and a Dissertation with defense.","M.S. Theory Exam, Research Prelim Exam, Consulting, Applied Data Analysis Project, Statistics seminar participation, Teaching requirement, General Exam, Dissertation, and Dissertation Defense are required.",
126,University of Washington,MS,Statistics - (MS - Advanced Methods & Data Analysis - Fulltime) ,文理学院,M.S. Theory Exam and Statistics seminar participation required.,SUCCESS,M.S. Theory Exam and Statistics seminar participation required.,M.S. Theory Exam and Statistics seminar participation required.,Comprehensive exam and participation in a statistics seminar are required.,M.S. Theory Exam and participation in at least one quarter of the Statistics seminar required.
127,"Rutgers University, New Brunswick",M.S.,MS in Information Technology and Analytics,商学院,Capstone project required,SUCCESS,Capstone project required,Capstone project required.,Capstone project required.,Not found
128,"Rutgers University, New Brunswick",M.S.,MS in Information Technology and Analytics,商学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Not found,Not found,Not found
129,"Rutgers University, New Brunswick",MI,Master of Information,传播与信息学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=312, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=312)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2359, traffic_type=None) automatic_function_calling_history=[] parsed=None",ePortfolio Capstone required.,,Not found
130,"Rutgers University, New Brunswick",MI,Master of Information,传播与信息学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,An ePortfolio Capstone is required.,Not found,No additional graduation requirement.
131,"Rutgers University, New Brunswick",MI,Master of Information,传播与信息学院,No additional graduation requirement,SUCCESS,No additional graduation requirement,,,
132,"Rutgers University, New Brunswick",MS,Data Science  ,文理学院,A master's research project is required.,SUCCESS,A master's research project is required.,A master's research project is required.,,
133,"Rutgers University, New Brunswick",MS,Data Science  ,文理学院,Capstone project or thesis option required.,SUCCESS,Capstone project or thesis option required.,"A capstone project is required, with a thesis option also available.",Capstone project or thesis option required.,
134,"Rutgers University, New Brunswick",MBS,Business and Science - Computer and Information Sciences,文理学院,One year of relevant work experience (including internships or externships) and attendance at 12 colloquia are required.,SUCCESS,One year of relevant work experience (including internships or externships) and attendance at 12 colloquia are required.,"One year of relevant work experience (including internships or externships), attendance at 12 colloquia, and enrollment in a final colloquium course are required.",,"One year of relevant work experience, internship, or externship, and attendance at 12 colloquia are required."
135,"Rutgers University, New Brunswick",MBS,Business and Science - Computer and Information Sciences,文理学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=372, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=372)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2419, traffic_type=None) automatic_function_calling_history=[] parsed=None","Students must complete 12 colloquia and demonstrate one year of relevant work experience, which can be fulfilled by an internship.","One year of relevant work experience through professional work, internship, or externship, and attendance at 12 colloquia are required.","One year of relevant work experience or an internship, and attendance at 12 colloquia are required."
136,Tufts University,MS,Data Analytics ,文理学院,Capstone Internship Experience required.,SUCCESS,Capstone Internship Experience required.,A Capstone Internship Experience is required.,Capstone Internship Experience required.,Capstone Internship Experience required.
137,Tufts University,MS,Data Science ,工程学院,Master's project option available.,SUCCESS,Master's project option available.,Master's project option available.,Master's project optional.,No additional graduation requirement
138,Tufts University,MS,Data Science ,工程学院,A master's project is an option to fulfill a practice requirement.,SUCCESS,A master's project is an option to fulfill a practice requirement.,Master's project optional to fulfill a practice requirement.,Master's project option available.,A master's project is an option to fulfill a practice requirement.
139,Boston University,MS,Computer Science ：data-centric computing.,艺术与科学学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
140,Boston University,MS, Master of Science in Statistical Practice,艺术与科学学院,A final portfolio containing consulting and project work is required.,SUCCESS,A final portfolio containing consulting and project work is required.,A final portfolio containing consulting and project work is required.,A final portfolio containing consulting and project work is required.,A final portfolio containing consulting and project work is required.
141,Boston University,MS,Data Analytics,工程学院,"Practicum, project, thesis, or independent study required.",SUCCESS,"Practicum, project, thesis, or independent study required.","Practicum, project, thesis, or independent study required.","Practicum component required, satisfiable by project, thesis, or independent study.","Practicum, project, thesis, or independent study required."
142,Boston University,PHD, PhD program in Computing & Data Sciences,计算与数据科学学院,"Research rotations, an oral area exam, a dissertation prospectus, and a final thesis defense are required.",SUCCESS,"Research rotations, an oral area exam, a dissertation prospectus, and a final thesis defense are required.","Oral area exam, dissertation prospectus, and final thesis defense required.","Research rotations, an oral area exam, a dissertation prospectus, and a final thesis defense are required.","Research rotations, an oral area exam, a dissertation prospectus, and a final thesis defense are required."
143,Boston University,M.S.,MS in Data Science (MSDS),计算与数据科学学院,Optional summer internship or master's thesis available.,SUCCESS,Optional summer internship or master's thesis available.,Optional internship or master's thesis available.,Optional summer internship or master's thesis available.,
144,Boston University,MS,MS in Applied Data Analytics,Metropolitan College,No additional graduation requirement,SUCCESS,No additional graduation requirement,No additional graduation requirement.,No additional graduation requirement.,Not found
145,Boston University,MS,"MS in Computer Information Systems, Data Analytics Concentration",Metropolitan College,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
